RACE,UNEDITED,CANDIDATE,VOTES,COUNTY
Mayor – City of Allen,Mayor – City of Allen - Baine Brooks,Baine Brooks,54,Colin
Mayor – City of Allen,Mayor – City of Allen.1 - OVER VOTES,OVER VOTES,0,Colin
Mayor – City of Allen,Mayor – City of Allen.2 - UNDER VOTES,UNDER VOTES,212,Colin
"Councilmember, Place No 2 – City of Allen","Councilmember, Place No. 2 – City of Allen - Nathan Polsky",Nathan Polsky,56,Colin
"Councilmember, Place No 2 – City of Allen","Councilmember, Place No. 2 – City of Allen.1 - Tommy Baril",Tommy Baril,54,Colin
"Councilmember, Place No 2 – City of Allen","Councilmember, Place No. 2 – City of Allen.2 - OVER VOTES",OVER VOTES,27,Colin
"Councilmember, Place No 2 – City of Allen","Councilmember, Place No. 2 – City of Allen.3 - UNDER VOTES",UNDER VOTES,129,Colin
"City Council, Place 3 – City of Anna","City Council, Place 3 – City of Anna - Bryan F. Heath",Bryan F. Heath,23,Colin
"City Council, Place 3 – City of Anna","City Council, Place 3 – City of Anna.1 - Stan Carver II",Stan Carver II,22,Colin
"City Council, Place 3 – City of Anna","City Council, Place 3 – City of Anna.2 - Kelly Herndon",Kelly Herndon,22,Colin
"City Council, Place 3 – City of Anna","City Council, Place 3 – City of Anna.3 - OVER VOTES",OVER VOTES,11,Colin
"City Council, Place 3 – City of Anna","City Council, Place 3 – City of Anna.4 - UNDER VOTES",UNDER VOTES,11,Colin
"City Council, Place 5 – City of Anna","City Council, Place 5 – City of Anna - Elden Baker",Elden Baker,23,Colin
"City Council, Place 5 – City of Anna","City Council, Place 5 – City of Anna.1 - Danny Ussery",Danny Ussery,22,Colin
"City Council, Place 5 – City of Anna","City Council, Place 5 – City of Anna.2 - OVER VOTES",OVER VOTES,11,Colin
"City Council, Place 5 – City of Anna","City Council, Place 5 – City of Anna.3 - UNDER VOTES",UNDER VOTES,33,Colin
Mayor – City of Carrollton,Mayor – City of Carrollton - Steve Babick,Steve Babick,5,Colin
Mayor – City of Carrollton,Mayor – City of Carrollton.1 - Young Sung,Young Sung,3,Colin
Mayor – City of Carrollton,Mayor – City of Carrollton.2 - Adam Polter,Adam Polter,3,Colin
Mayor – City of Carrollton,Mayor – City of Carrollton.3 - OVER VOTES,OVER VOTES,2,Colin
Mayor – City of Carrollton,Mayor – City of Carrollton.4 - UNDER VOTES,UNDER VOTES,2,Colin
"City Council, Place 2 – City of Carrollton","City Council, Place 2 – City of Carrollton - Jason Carpenter",Jason Carpenter,5,Colin
"City Council, Place 2 – City of Carrollton","City Council, Place 2 – City of Carrollton.1 - Eddie Lopez",Eddie Lopez,3,Colin
"City Council, Place 2 – City of Carrollton","City Council, Place 2 – City of Carrollton.2 - OVER VOTES",OVER VOTES,2,Colin
"City Council, Place 2 – City of Carrollton","City Council, Place 2 – City of Carrollton.3 - UNDER VOTES",UNDER VOTES,5,Colin
"City Council, Place 4 – City of Carrollton","City Council, Place 4 – City of Carrollton - Andrew Palacios",Andrew Palacios,5,Colin
