RACE,UNEDITED,CANDIDATE,VOTES,COUNTY
BALLOTS CAST,BALLOTS CAST - Republican - BALLOTS CAST,BALLOTS CAST,65980,COLL
BALLOTS CAST,BALLOTS CAST - Democratic - BALLOTS CAST,BALLOTS CAST,23688,COLL
REP President,REP President - Vivek Ramaswamy,Vivek Ramaswamy,441,COLL
REP President,REP President.1 - Chris Christie,Chris Christie,290,COLL
REP President,REP President.2 - David Stuckenberg,David Stuckenberg,55,COLL
REP President,REP President.3 - Donald J. Trump,Donald J. Trump,45120,COLL
REP President,REP President.4 - Nikki Haley,Nikki Haley,16394,COLL
REP President,REP President.5 - Ron DeSantis,Ron DeSantis,1295,COLL
REP President,REP President.6 - Asa Hutchinson,Asa Hutchinson,79,COLL
REP President,REP President.7 - Ryan L. Binkley,Ryan L. Binkley,106,COLL
REP President,REP President.8 - Uncommitted,Uncommitted,1486,COLL
REP President,REP President.9 - OVER VOTES,OVER VOTES,0,COLL
REP President,REP President.10 - UNDER VOTES,UNDER VOTES,714,COLL
REP United States Senator,REP United States Senator - Holland “Redd” Gibson,Holland “Redd” Gibson,4923,COLL
REP United States Senator,REP United States Senator.1 - R.E. (Rufus) Lopez,R.E. (Rufus) Lopez,4377,COLL
REP United States Senator,REP United States Senator.2 - Ted Cruz,Ted Cruz,52973,COLL
REP United States Senator,REP United States Senator.3 - OVER VOTES,OVER VOTES,1,COLL
REP United States Senator,REP United States Senator.4 - UNDER VOTES,UNDER VOTES,3706,COLL
"REP United States Representative, District 3","REP United States Representative, District 3 - Suzanne Harp",Suzanne Harp,7814,COLL
"REP United States Representative, District 3","REP United States Representative, District 3.1 - Tre Pennie",Tre Pennie,1693,COLL
"REP United States Representative, District 3","REP United States Representative, District 3.2 - Jeremy D. Ivanovskis",Jeremy D. Ivanovskis,669,COLL
"REP United States Representative, District 3","REP United States Representative, District 3.3 - John Porro",John Porro,1145,COLL
"REP United States Representative, District 3","REP United States Representative, District 3.4 - Keith Self",Keith Self,33041,COLL
"REP United States Representative, District 3","REP United States Representative, District 3.5 - OVER VOTES",OVER VOTES,0,COLL
"REP United States Representative, District 3","REP United States Representative, District 3.6 - UNDER VOTES",UNDER VOTES,4804,COLL
"REP United States Representative, District 4","REP United States Representative, District 4 - Don Horn",Don Horn,2300,COLL
"REP United States Representative, District 4","REP United States Representative, District 4.1 - Pat Fallon",Pat Fallon,9114,COLL
"REP United States Representative, District 4","REP United States Representative, District 4.2 - OVER VOTES",OVER VOTES,0,COLL
"REP United States Representative, District 4","REP United States Representative, District 4.3 - UNDER VOTES",UNDER VOTES,2632,COLL
"REP United States Representative, District 32","REP United States Representative, District 32 - Gulrez “Gus” Khan",Gulrez “Gus” Khan,169,COLL
"REP United States Representative, District 32","REP United States Representative, District 32.1 - Darrell Day",Darrell Day,1021,COLL
"REP United States Representative, District 32","REP United States Representative, District 32.2 - Juan Feria",Juan Feria,167,COLL
"REP United States Representative, District 32","REP United States Representative, District 32.3 - David Blewett",David Blewett,799,COLL
"REP United States Representative, District 32","REP United States Representative, District 32.4 - OVER VOTES",OVER VOTES,0,COLL
"REP United States Representative, District 32","REP United States Representative, District 32.5 - UNDER VOTES",UNDER VOTES,590,COLL
REP Railroad Commissioner,REP Railroad Commissioner - Christie Clark,Christie Clark,7614,COLL
REP Railroad Commissioner,REP Railroad Commissioner.1 - Christi Craddick,Christi Craddick,33038,COLL
REP Railroad Commissioner,REP Railroad Commissioner.2 - Petra Reyes,Petra Reyes,1838,COLL
REP Railroad Commissioner,REP Railroad Commissioner.3 - Corey Howell,Corey Howell,1780,COLL
REP Railroad Commissioner,REP Railroad Commissioner.4 - James “Jim” Matlock,James “Jim” Matlock,9681,COLL
REP Railroad Commissioner,REP Railroad Commissioner.5 - OVER VOTES,OVER VOTES,1,COLL
REP Railroad Commissioner,REP Railroad Commissioner.6 - UNDER VOTES,UNDER VOTES,12028,COLL
"REP Justice, Supreme Court, Place 2","REP Justice, Supreme Court, Place 2 - Jimmy Blacklock",Jimmy Blacklock,42773,COLL
"REP Justice, Supreme Court, Place 2","REP Justice, Supreme Court, Place 2.1 - OVER VOTES",OVER VOTES,0,COLL
"REP Justice, Supreme Court, Place 2","REP Justice, Supreme Court, Place 2.2 - UNDER VOTES",UNDER VOTES,23207,COLL
"REP Justice, Supreme Court, Place 4","REP Justice, Supreme Court, Place 4 - John Devine",John Devine,32701,COLL
"REP Justice, Supreme Court, Place 4","REP Justice, Supreme Court, Place 4.1 - Brian Walker",Brian Walker,17694,COLL
