RACE,UNEDITED,CANDIDATE,VOTES,COUNTY
BALLOTS CAST,BALLOTS CAST - Republican - BALLOTS CAST,BALLOTS CAST,60179,COLL
BALLOTS CAST,BALLOTS CAST - Democratic - BALLOTS CAST,BALLOTS CAST,21454,COLL
REP President,REP President - Vivek Ramaswamy,Vivek Ramaswamy,393,COLL
REP President,REP President.1 - Chris Christie,Chris Christie,272,COLL
REP President,REP President.2 - David Stuckenberg,David Stuckenberg,51,COLL
REP President,REP President.3 - Donald J. Trump,Donald J. Trump,41023,COLL
REP President,REP President.4 - Nikki Haley,Nikki Haley,15043,COLL
REP President,REP President.5 - Ron DeSantis,Ron DeSantis,1189,COLL
REP President,REP President.6 - Asa Hutchinson,Asa Hutchinson,75,COLL
REP President,REP President.7 - Ryan L. Binkley,Ryan L. Binkley,100,COLL
REP President,REP President.8 - Uncommitted,Uncommitted,1374,COLL
REP President,REP President.9 - OVER VOTES,OVER VOTES,0,COLL
REP President,REP President.10 - UNDER VOTES,UNDER VOTES,659,COLL
REP United States Senator,REP United States Senator - Holland “Redd” Gibson,Holland “Redd” Gibson,4454,COLL
REP United States Senator,REP United States Senator.1 - R.E. (Rufus) Lopez,R.E. (Rufus) Lopez,3961,COLL
REP United States Senator,REP United States Senator.2 - Ted Cruz,Ted Cruz,48455,COLL
REP United States Senator,REP United States Senator.3 - OVER VOTES,OVER VOTES,1,COLL
REP United States Senator,REP United States Senator.4 - UNDER VOTES,UNDER VOTES,3308,COLL
"REP United States Representative, District 3","REP United States Representative, District 3 - Suzanne Harp",Suzanne Harp,6964,COLL
"REP United States Representative, District 3","REP United States Representative, District 3.1 - Tre Pennie",Tre Pennie,1551,COLL
"REP United States Representative, District 3","REP United States Representative, District 3.2 - Jeremy D. Ivanovskis",Jeremy D. Ivanovskis,569,COLL
"REP United States Representative, District 3","REP United States Representative, District 3.3 - John Porro",John Porro,1046,COLL
"REP United States Representative, District 3","REP United States Representative, District 3.4 - Keith Self",Keith Self,30334,COLL
"REP United States Representative, District 3","REP United States Representative, District 3.5 - OVER VOTES",OVER VOTES,0,COLL
"REP United States Representative, District 3","REP United States Representative, District 3.6 - UNDER VOTES",UNDER VOTES,4089,COLL
"REP United States Representative, District 4","REP United States Representative, District 4 - Don Horn",Don Horn,2166,COLL
"REP United States Representative, District 4","REP United States Representative, District 4.1 - Pat Fallon",Pat Fallon,8711,COLL
"REP United States Representative, District 4","REP United States Representative, District 4.2 - OVER VOTES",OVER VOTES,0,COLL
"REP United States Representative, District 4","REP United States Representative, District 4.3 - UNDER VOTES",UNDER VOTES,2470,COLL
"REP United States Representative, District 32","REP United States Representative, District 32 - Gulrez “Gus” Khan",Gulrez “Gus” Khan,125,COLL
"REP United States Representative, District 32","REP United States Representative, District 32.1 - Darrell Day",Darrell Day,859,COLL
"REP United States Representative, District 32","REP United States Representative, District 32.2 - Juan Feria",Juan Feria,130,COLL
"REP United States Representative, District 32","REP United States Representative, District 32.3 - David Blewett",David Blewett,697,COLL
"REP United States Representative, District 32","REP United States Representative, District 32.4 - OVER VOTES",OVER VOTES,0,COLL
"REP United States Representative, District 32","REP United States Representative, District 32.5 - UNDER VOTES",UNDER VOTES,446,COLL
REP Railroad Commissioner,REP Railroad Commissioner - Christie Clark,Christie Clark,6850,COLL
REP Railroad Commissioner,REP Railroad Commissioner.1 - Christi Craddick,Christi Craddick,30854,COLL
REP Railroad Commissioner,REP Railroad Commissioner.2 - Petra Reyes,Petra Reyes,1624,COLL
REP Railroad Commissioner,REP Railroad Commissioner.3 - Corey Howell,Corey Howell,1573,COLL
REP Railroad Commissioner,REP Railroad Commissioner.4 - James “Jim” Matlock,James “Jim” Matlock,8740,COLL
REP Railroad Commissioner,REP Railroad Commissioner.5 - OVER VOTES,OVER VOTES,1,COLL
REP Railroad Commissioner,REP Railroad Commissioner.6 - UNDER VOTES,UNDER VOTES,10537,COLL
"REP Justice, Supreme Court, Place 2","REP Justice, Supreme Court, Place 2 - Jimmy Blacklock",Jimmy Blacklock,39186,COLL
"REP Justice, Supreme Court, Place 2","REP Justice, Supreme Court, Place 2.1 - OVER VOTES",OVER VOTES,0,COLL
"REP Justice, Supreme Court, Place 2","REP Justice, Supreme Court, Place 2.2 - UNDER VOTES",UNDER VOTES,20993,COLL
