RACE,UNEDITED,CANDIDATE,VOTES,COUNTY
Mayor – City of Allen,Mayor – City of Allen - Baine Brooks,Baine Brooks,3952,Colin
Mayor – City of Allen,Mayor – City of Allen.1 - OVER VOTES,OVER VOTES,0,Colin
Mayor – City of Allen,Mayor – City of Allen.2 - UNDER VOTES,UNDER VOTES,849,Colin
"Councilmember, Place No 2 – City of Allen","Councilmember, Place No. 2 – City of Allen - Nathan Polsky",Nathan Polsky,1036,Colin
"Councilmember, Place No 2 – City of Allen","Councilmember, Place No. 2 – City of Allen.1 - Tommy Baril",Tommy Baril,3259,Colin
"Councilmember, Place No 2 – City of Allen","Councilmember, Place No. 2 – City of Allen.2 - OVER VOTES",OVER VOTES,0,Colin
"Councilmember, Place No 2 – City of Allen","Councilmember, Place No. 2 – City of Allen.3 - UNDER VOTES",UNDER VOTES,506,Colin
"City Council, Place 3 – City of Anna","City Council, Place 3 – City of Anna - Bryan F. Heath",Bryan F. Heath,109,Colin
"City Council, Place 3 – City of Anna","City Council, Place 3 – City of Anna.1 - Stan Carver II",Stan Carver II,243,Colin
"City Council, Place 3 – City of Anna","City Council, Place 3 – City of Anna.2 - Kelly Herndon",Kelly Herndon,171,Colin
"City Council, Place 3 – City of Anna","City Council, Place 3 – City of Anna.3 - OVER VOTES",OVER VOTES,0,Colin
"City Council, Place 3 – City of Anna","City Council, Place 3 – City of Anna.4 - UNDER VOTES",UNDER VOTES,33,Colin
"City Council, Place 5 – City of Anna","City Council, Place 5 – City of Anna - Elden Baker",Elden Baker,276,Colin
"City Council, Place 5 – City of Anna","City Council, Place 5 – City of Anna.1 - Danny Ussery",Danny Ussery,239,Colin
"City Council, Place 5 – City of Anna","City Council, Place 5 – City of Anna.2 - OVER VOTES",OVER VOTES,0,Colin
"City Council, Place 5 – City of Anna","City Council, Place 5 – City of Anna.3 - UNDER VOTES",UNDER VOTES,41,Colin
Mayor – City of Carrollton,Mayor – City of Carrollton - Steve Babick,Steve Babick,1,Colin
Mayor – City of Carrollton,Mayor – City of Carrollton.1 - Young Sung,Young Sung,0,Colin
Mayor – City of Carrollton,Mayor – City of Carrollton.2 - Adam Polter,Adam Polter,7,Colin
Mayor – City of Carrollton,Mayor – City of Carrollton.3 - OVER VOTES,OVER VOTES,0,Colin
Mayor – City of Carrollton,Mayor – City of Carrollton.4 - UNDER VOTES,UNDER VOTES,0,Colin
"City Council, Place 2 – City of Carrollton","City Council, Place 2 – City of Carrollton - Jason Carpenter",Jason Carpenter,4,Colin
"City Council, Place 2 – City of Carrollton","City Council, Place 2 – City of Carrollton.1 - Eddie Lopez",Eddie Lopez,2,Colin
"City Council, Place 2 – City of Carrollton","City Council, Place 2 – City of Carrollton.2 - OVER VOTES",OVER VOTES,0,Colin
"City Council, Place 2 – City of Carrollton","City Council, Place 2 – City of Carrollton.3 - UNDER VOTES",UNDER VOTES,2,Colin
"City Council, Place 4 – City of Carrollton","City Council, Place 4 – City of Carrollton - Andrew Palacios",Andrew Palacios,3,Colin
"City Council, Place 4 – City of Carrollton","City Council, Place 4 – City of Carrollton.1 - Brittney Verdell",Brittney Verdell,4,Colin
"City Council, Place 4 – City of Carrollton","City Council, Place 4 – City of Carrollton.2 - OVER VOTES",OVER VOTES,0,Colin
"City Council, Place 4 – City of Carrollton","City Council, Place 4 – City of Carrollton.3 - UNDER VOTES",UNDER VOTES,1,Colin
"City Council, Place 6 – City of Carrollton","City Council, Place 6 – City of Carrollton - Mike Dooling",Mike Dooling,3,Colin
