RACE,UNEDITED,CANDIDATE,VOTES,COUNTY
BALLOTS CAST,BALLOTS CAST - Republican - BALLOTS CAST,BALLOTS CAST,101502,COLL
BALLOTS CAST,BALLOTS CAST - Democratic - BALLOTS CAST,BALLOTS CAST,35956,COLL
REP President,REP President - Vivek Ramaswamy,Vivek Ramaswamy,695,COLL
REP President,REP President.1 - Chris Christie,Chris Christie,402,COLL
REP President,REP President.2 - David Stuckenberg,David Stuckenberg,88,COLL
REP President,REP President.3 - Donald J. Trump,Donald J. Trump,70080,COLL
REP President,REP President.4 - Nikki Haley,Nikki Haley,24854,COLL
REP President,REP President.5 - Ron DeSantis,Ron DeSantis,1818,COLL
REP President,REP President.6 - Asa Hutchinson,Asa Hutchinson,108,COLL
REP President,REP President.7 - Ryan L. Binkley,Ryan L. Binkley,163,COLL
REP President,REP President.8 - Uncommitted,Uncommitted,2260,COLL
REP President,REP President.9 - OVER VOTES,OVER VOTES,0,COLL
REP President,REP President.10 - UNDER VOTES,UNDER VOTES,1034,COLL
REP United States Senator,REP United States Senator - Holland “Redd” Gibson,Holland “Redd” Gibson,7879,COLL
REP United States Senator,REP United States Senator.1 - R.E. (Rufus) Lopez,R.E. (Rufus) Lopez,6783,COLL
REP United States Senator,REP United States Senator.2 - Ted Cruz,Ted Cruz,80675,COLL
REP United States Senator,REP United States Senator.3 - OVER VOTES,OVER VOTES,1,COLL
REP United States Senator,REP United States Senator.4 - UNDER VOTES,UNDER VOTES,6164,COLL
"REP United States Representative, District 3","REP United States Representative, District 3 - Suzanne Harp",Suzanne Harp,12742,COLL
"REP United States Representative, District 3","REP United States Representative, District 3.1 - Tre Pennie",Tre Pennie,2536,COLL
"REP United States Representative, District 3","REP United States Representative, District 3.2 - Jeremy D. Ivanovskis",Jeremy D. Ivanovskis,1093,COLL
"REP United States Representative, District 3","REP United States Representative, District 3.3 - John Porro",John Porro,1963,COLL
"REP United States Representative, District 3","REP United States Representative, District 3.4 - Keith Self",Keith Self,47376,COLL
"REP United States Representative, District 3","REP United States Representative, District 3.5 - OVER VOTES",OVER VOTES,0,COLL
"REP United States Representative, District 3","REP United States Representative, District 3.6 - UNDER VOTES",UNDER VOTES,8485,COLL
"REP United States Representative, District 4","REP United States Representative, District 4 - Don Horn",Don Horn,3921,COLL
"REP United States Representative, District 4","REP United States Representative, District 4.1 - Pat Fallon",Pat Fallon,14286,COLL
"REP United States Representative, District 4","REP United States Representative, District 4.2 - OVER VOTES",OVER VOTES,0,COLL
"REP United States Representative, District 4","REP United States Representative, District 4.3 - UNDER VOTES",UNDER VOTES,4764,COLL
"REP United States Representative, District 32","REP United States Representative, District 32 - Gulrez “Gus” Khan",Gulrez “Gus” Khan,306,COLL
"REP United States Representative, District 32","REP United States Representative, District 32.1 - Darrell Day",Darrell Day,1565,COLL
"REP United States Representative, District 32","REP United States Representative, District 32.2 - Juan Feria",Juan Feria,251,COLL
"REP United States Representative, District 32","REP United States Representative, District 32.3 - David Blewett",David Blewett,1176,COLL
"REP United States Representative, District 32","REP United States Representative, District 32.4 - OVER VOTES",OVER VOTES,0,COLL
"REP United States Representative, District 32","REP United States Representative, District 32.5 - UNDER VOTES",UNDER VOTES,1016,COLL
REP Railroad Commissioner,REP Railroad Commissioner - Christie Clark,Christie Clark,12070,COLL
REP Railroad Commissioner,REP Railroad Commissioner.1 - Christi Craddick,Christi Craddick,47463,COLL
REP Railroad Commissioner,REP Railroad Commissioner.2 - Petra Reyes,Petra Reyes,3045,COLL
REP Railroad Commissioner,REP Railroad Commissioner.3 - Corey Howell,Corey Howell,2967,COLL
REP Railroad Commissioner,REP Railroad Commissioner.4 - James “Jim” Matlock,James “Jim” Matlock,15332,COLL
REP Railroad Commissioner,REP Railroad Commissioner.5 - OVER VOTES,OVER VOTES,1,COLL
REP Railroad Commissioner,REP Railroad Commissioner.6 - UNDER VOTES,UNDER VOTES,20624,COLL
"REP Justice, Supreme Court, Place 2","REP Justice, Supreme Court, Place 2 - Jimmy Blacklock",Jimmy Blacklock,64919,COLL
"REP Justice, Supreme Court, Place 2","REP Justice, Supreme Court, Place 2.1 - OVER VOTES",OVER VOTES,0,COLL
"REP Justice, Supreme Court, Place 2","REP Justice, Supreme Court, Place 2.2 - UNDER VOTES",UNDER VOTES,36583,COLL
"REP Justice, Supreme Court, Place 4","REP Justice, Supreme Court, Place 4 - John Devine",John Devine,48618,COLL
"REP Justice, Supreme Court, Place 4","REP Justice, Supreme Court, Place 4.1 - Brian Walker",Brian Walker,26833,COLL
"REP Justice, Supreme Court, Place 4","REP Justice, Supreme Court, Place 4.2 - OVER VOTES",OVER VOTES,0,COLL
"REP Justice, Supreme Court, Place 4","REP Justice, Supreme Court, Place 4.3 - UNDER VOTES",UNDER VOTES,26051,COLL
"REP Justice Supreme Court, Place 6","REP Justice Supreme Court, Place 6 - Jane Bland",Jane Bland,63433,COLL
"REP Justice Supreme Court, Place 6","REP Justice Supreme Court, Place 6.1 - OVER VOTES",OVER VOTES,0,COLL
"REP Justice Supreme Court, Place 6","REP Justice Supreme Court, Place 6.2 - UNDER VOTES",UNDER VOTES,38069,COLL
"REP Presiding Judge, Court of Criminal Appeals","REP Presiding Judge, Court of Criminal Appeals - David J. Schenck",David J. Schenck,56015,COLL
"REP Presiding Judge, Court of Criminal Appeals","REP Presiding Judge, Court of Criminal Appeals.1 - Sharon Keller",Sharon Keller,22051,COLL
"REP Presiding Judge, Court of Criminal Appeals","REP Presiding Judge, Court of Criminal Appeals.2 - OVER VOTES",OVER VOTES,0,COLL
"REP Presiding Judge, Court of Criminal Appeals","REP Presiding Judge, Court of Criminal Appeals.3 - UNDER VOTES",UNDER VOTES,23436,COLL
"REP Judge, Court of Criminal Appeals, Place 7","REP Judge, Court of Criminal Appeals, Place 7 - Barbara Parker Hervey",Barbara Parker Hervey,23179,COLL
"REP Judge, Court of Criminal Appeals, Place 7","REP Judge, Court of Criminal Appeals, Place 7.1 - Gina Parker",Gina Parker,52549,COLL
"REP Judge, Court of Criminal Appeals, Place 7","REP Judge, Court of Criminal Appeals, Place 7.2 - OVER VOTES",OVER VOTES,0,COLL
"REP Judge, Court of Criminal Appeals, Place 7","REP Judge, Court of Criminal Appeals, Place 7.3 - UNDER VOTES",UNDER VOTES,25774,COLL
"REP Judge, Court of Criminal Appeals, Place 8","REP Judge, Court of Criminal Appeals, Place 8 - Lee Finley",Lee Finley,43637,COLL
"REP Judge, Court of Criminal Appeals, Place 8","REP Judge, Court of Criminal Appeals, Place 8.1 - Michelle Slaughter",Michelle Slaughter,31960,COLL
"REP Judge, Court of Criminal Appeals, Place 8","REP Judge, Court of Criminal Appeals, Place 8.2 - OVER VOTES",OVER VOTES,0,COLL
"REP Judge, Court of Criminal Appeals, Place 8","REP Judge, Court of Criminal Appeals, Place 8.3 - UNDER VOTES",UNDER VOTES,25905,COLL
"REP Member, State Board of Education, District 12","REP Member, State Board of Education, District 12 - Matt Rostami",Matt Rostami,14616,COLL
"REP Member, State Board of Education, District 12","REP Member, State Board of Education, District 12.1 - Pam Little",Pam Little,28690,COLL
"REP Member, State Board of Education, District 12","REP Member, State Board of Education, District 12.2 - Chad Green",Chad Green,14407,COLL
"REP Member, State Board of Education, District 12","REP Member, State Board of Education, District 12.3 - Jamie Kohlmann",Jamie Kohlmann,23059,COLL
"REP Member, State Board of Education, District 12","REP Member, State Board of Education, District 12.4 - OVER VOTES",OVER VOTES,0,COLL
"REP Member, State Board of Education, District 12","REP Member, State Board of Education, District 12.5 - UNDER VOTES",UNDER VOTES,20712,COLL
"REP State Senator, District 8","REP State Senator, District 8 - Angela Paxton",Angela Paxton,56018,COLL
"REP State Senator, District 8","REP State Senator, District 8.1 - OVER VOTES",OVER VOTES,0,COLL
"REP State Senator, District 8","REP State Senator, District 8.2 - UNDER VOTES",UNDER VOTES,30305,COLL
"REP State Senator, District 30","REP State Senator, District 30 - Jace Yarbrough",Jace Yarbrough,1943,COLL
"REP State Senator, District 30","REP State Senator, District 30.1 - Carrie de Moor",Carrie de Moor,1582,COLL
"REP State Senator, District 30","REP State Senator, District 30.2 - Brent Hagenbuch",Brent Hagenbuch,2268,COLL
"REP State Senator, District 30","REP State Senator, District 30.3 - Cody Clark",Cody Clark,851,COLL
"REP State Senator, District 30","REP State Senator, District 30.4 - OVER VOTES",OVER VOTES,0,COLL
"REP State Senator, District 30","REP State Senator, District 30.5 - UNDER VOTES",UNDER VOTES,1829,COLL
"REP State Representative, District 33","REP State Representative, District 33 - Justin Holland",Justin Holland,2175,COLL
"REP State Representative, District 33","REP State Representative, District 33.1 - Katrina Pierson",Katrina Pierson,2216,COLL
"REP State Representative, District 33","REP State Representative, District 33.2 - Dennis London",Dennis London,1223,COLL
"REP State Representative, District 33","REP State Representative, District 33.3 - OVER VOTES",OVER VOTES,0,COLL
"REP State Representative, District 33","REP State Representative, District 33.4 - UNDER VOTES",UNDER VOTES,945,COLL
"REP State Representative, District 61","REP State Representative, District 61 - Keresa Richardson",Keresa Richardson,7235,COLL
"REP State Representative, District 61","REP State Representative, District 61.1 - Frederick Frazier",Frederick Frazier,5840,COLL
"REP State Representative, District 61","REP State Representative, District 61.2 - Chuck Branch",Chuck Branch,5126,COLL
"REP State Representative, District 61","REP State Representative, District 61.3 - OVER VOTES",OVER VOTES,0,COLL
"REP State Representative, District 61","REP State Representative, District 61.4 - UNDER VOTES",UNDER VOTES,2214,COLL
"REP State Representative, District 66","REP State Representative, District 66 - Matt Shaheen",Matt Shaheen,11022,COLL
"REP State Representative, District 66","REP State Representative, District 66.1 - Wayne Richard",Wayne Richard,6275,COLL
"REP State Representative, District 66","REP State Representative, District 66.2 - OVER VOTES",OVER VOTES,0,COLL
"REP State Representative, District 66","REP State Representative, District 66.3 - UNDER VOTES",UNDER VOTES,2783,COLL
"REP State Representative, District 67","REP State Representative, District 67 - Daren Meis",Daren Meis,6028,COLL
"REP State Representative, District 67","REP State Representative, District 67.1 - Jeff Leach",Jeff Leach,11246,COLL
"REP State Representative, District 67","REP State Representative, District 67.2 - OVER VOTES",OVER VOTES,0,COLL
"REP State Representative, District 67","REP State Representative, District 67.3 - UNDER VOTES",UNDER VOTES,2342,COLL
"REP State Representative, District 70","REP State Representative, District 70 - Steve Kinard",Steve Kinard,6659,COLL
"REP State Representative, District 70","REP State Representative, District 70.1 - Joe Collins",Joe Collins,3118,COLL
"REP State Representative, District 70","REP State Representative, District 70.2 - OVER VOTES",OVER VOTES,0,COLL
"REP State Representative, District 70","REP State Representative, District 70.3 - UNDER VOTES",UNDER VOTES,4414,COLL
"REP State Representative, District 89","REP State Representative, District 89 - Abraham George",Abraham George,8625,COLL
"REP State Representative, District 89","REP State Representative, District 89.1 - Candy Noble",Candy Noble,9568,COLL
"REP State Representative, District 89","REP State Representative, District 89.2 - OVER VOTES",OVER VOTES,0,COLL
"REP State Representative, District 89","REP State Representative, District 89.3 - UNDER VOTES",UNDER VOTES,2424,COLL
"REP Chief Justice, 5th Court of Appeals District","REP Chief Justice, 5th Court of Appeals District - Justin Jay “J. J.” Koch",Justin Jay “J. J.” Koch,60950,COLL
"REP Chief Justice, 5th Court of Appeals District","REP Chief Justice, 5th Court of Appeals District.1 - OVER VOTES",OVER VOTES,0,COLL
"REP Chief Justice, 5th Court of Appeals District","REP Chief Justice, 5th Court of Appeals District.2 - UNDER VOTES",UNDER VOTES,40535,COLL
"REP Justice, 5th Court of Appeals District, Place 2","REP Justice, 5th Court of Appeals District, Place 2 - Jessica Lewis",Jessica Lewis,61044,COLL
"REP Justice, 5th Court of Appeals District, Place 2","REP Justice, 5th Court of Appeals District, Place 2.1 - OVER VOTES",OVER VOTES,0,COLL
"REP Justice, 5th Court of Appeals District, Place 2","REP Justice, 5th Court of Appeals District, Place 2.2 - UNDER VOTES",UNDER VOTES,40441,COLL
"REP Justice, 5th Court of Appeals District, Place 5","REP Justice, 5th Court of Appeals District, Place 5 - Cynthia Barbare",Cynthia Barbare,60672,COLL
"REP Justice, 5th Court of Appeals District, Place 5","REP Justice, 5th Court of Appeals District, Place 5.1 - OVER VOTES",OVER VOTES,0,COLL
"REP Justice, 5th Court of Appeals District, Place 5","REP Justice, 5th Court of Appeals District, Place 5.2 - UNDER VOTES",UNDER VOTES,40813,COLL
"REP Justice, 5th Court of Appeals District, Place 9","REP Justice, 5th Court of Appeals District, Place 9 - Matthew J. Kolodoski",Matthew J. Kolodoski,60329,COLL
"REP Justice, 5th Court of Appeals District, Place 9","REP Justice, 5th Court of Appeals District, Place 9.1 - OVER VOTES",OVER VOTES,0,COLL
"REP Justice, 5th Court of Appeals District, Place 9","REP Justice, 5th Court of Appeals District, Place 9.2 - UNDER VOTES",UNDER VOTES,41156,COLL
"REP Justice, 5th Court of Appeals District, Place 10","REP Justice, 5th Court of Appeals District, Place 10 - Earl Jackson",Earl Jackson,60011,COLL
"REP Justice, 5th Court of Appeals District, Place 10","REP Justice, 5th Court of Appeals District, Place 10.1 - OVER VOTES",OVER VOTES,0,COLL
"REP Justice, 5th Court of Appeals District, Place 10","REP Justice, 5th Court of Appeals District, Place 10.2 - UNDER VOTES",UNDER VOTES,41474,COLL
"REP Justice, 5th Court of Appeals District, Place 11","REP Justice, 5th Court of Appeals District, Place 11 - Gino J. Rossini",Gino J. Rossini,60077,COLL
"REP Justice, 5th Court of Appeals District, Place 11","REP Justice, 5th Court of Appeals District, Place 11.1 - OVER VOTES",OVER VOTES,0,COLL
"REP Justice, 5th Court of Appeals District, Place 11","REP Justice, 5th Court of Appeals District, Place 11.2 - UNDER VOTES",UNDER VOTES,41408,COLL
"REP Justice, 5th Court of Appeals District, Place 12","REP Justice, 5th Court of Appeals District, Place 12 - Mike Lee",Mike Lee,61001,COLL
"REP Justice, 5th Court of Appeals District, Place 12","REP Justice, 5th Court of Appeals District, Place 12.1 - OVER VOTES",OVER VOTES,0,COLL
"REP Justice, 5th Court of Appeals District, Place 12","REP Justice, 5th Court of Appeals District, Place 12.2 - UNDER VOTES",UNDER VOTES,40484,COLL
"REP Justice, 5th Court of Appeals District, Place 13","REP Justice, 5th Court of Appeals District, Place 13 - Emily A. Miskel",Emily A. Miskel,60267,COLL
"REP Justice, 5th Court of Appeals District, Place 13","REP Justice, 5th Court of Appeals District, Place 13.1 - OVER VOTES",OVER VOTES,0,COLL
"REP Justice, 5th Court of Appeals District, Place 13","REP Justice, 5th Court of Appeals District, Place 13.2 - UNDER VOTES",UNDER VOTES,41218,COLL
"REP District Judge, 199th Judicial District","REP District Judge, 199th Judicial District - Angela Tucker",Angela Tucker,61052,COLL
"REP District Judge, 199th Judicial District","REP District Judge, 199th Judicial District.1 - OVER VOTES",OVER VOTES,0,COLL
"REP District Judge, 199th Judicial District","REP District Judge, 199th Judicial District.2 - UNDER VOTES",UNDER VOTES,40426,COLL
"REP District Judge, 380th Judicial District","REP District Judge, 380th Judicial District - Ben Smith",Ben Smith,60367,COLL
"REP District Judge, 380th Judicial District","REP District Judge, 380th Judicial District.1 - OVER VOTES",OVER VOTES,0,COLL
"REP District Judge, 380th Judicial District","REP District Judge, 380th Judicial District.2 - UNDER VOTES",UNDER VOTES,41111,COLL
"REP District Judge, 401st Judicial District","REP District Judge, 401st Judicial District - Kim Laseter",Kim Laseter,33837,COLL
"REP District Judge, 401st Judicial District","REP District Judge, 401st Judicial District.1 - Shayla Smith",Shayla Smith,9076,COLL
"REP District Judge, 401st Judicial District","REP District Judge, 401st Judicial District.2 - Joel Petrazio",Joel Petrazio,30050,COLL
"REP District Judge, 401st Judicial District","REP District Judge, 401st Judicial District.3 - OVER VOTES",OVER VOTES,3,COLL
"REP District Judge, 401st Judicial District","REP District Judge, 401st Judicial District.4 - UNDER VOTES",UNDER VOTES,28512,COLL
"REP District Judge, 416th Judicial District","REP District Judge, 416th Judicial District - Andrea Stroh Thompson",Andrea Stroh Thompson,58886,COLL
"REP District Judge, 416th Judicial District","REP District Judge, 416th Judicial District.1 - OVER VOTES",OVER VOTES,0,COLL
"REP District Judge, 416th Judicial District","REP District Judge, 416th Judicial District.2 - UNDER VOTES",UNDER VOTES,42592,COLL
"REP District Judge, 468th Judicial District","REP District Judge, 468th Judicial District - Lindsey Wynne",Lindsey Wynne,59022,COLL
"REP District Judge, 468th Judicial District","REP District Judge, 468th Judicial District.1 - OVER VOTES",OVER VOTES,0,COLL
"REP District Judge, 468th Judicial District","REP District Judge, 468th Judicial District.2 - UNDER VOTES",UNDER VOTES,42456,COLL
"REP District Judge, 469th Judicial District","REP District Judge, 469th Judicial District - Piper McCraw",Piper McCraw,59285,COLL
"REP District Judge, 469th Judicial District","REP District Judge, 469th Judicial District.1 - OVER VOTES",OVER VOTES,0,COLL
"REP District Judge, 469th Judicial District","REP District Judge, 469th Judicial District.2 - UNDER VOTES",UNDER VOTES,42193,COLL
"REP District Judge, 470th Judicial District","REP District Judge, 470th Judicial District - Brook Fulks",Brook Fulks,58469,COLL
"REP District Judge, 470th Judicial District","REP District Judge, 470th Judicial District.1 - OVER VOTES",OVER VOTES,0,COLL
"REP District Judge, 470th Judicial District","REP District Judge, 470th Judicial District.2 - UNDER VOTES",UNDER VOTES,43009,COLL
"REP District Judge, 471st Judicial District","REP District Judge, 471st Judicial District - Andrea Bouressa",Andrea Bouressa,58195,COLL
"REP District Judge, 471st Judicial District","REP District Judge, 471st Judicial District.1 - OVER VOTES",OVER VOTES,0,COLL
"REP District Judge, 471st Judicial District","REP District Judge, 471st Judicial District.2 - UNDER VOTES",UNDER VOTES,43283,COLL
"REP District Judge, 493rd Judicial District","REP District Judge, 493rd Judicial District - Christine A. Nowak",Christine A. Nowak,56823,COLL
"REP District Judge, 493rd Judicial District","REP District Judge, 493rd Judicial District.1 - OVER VOTES",OVER VOTES,0,COLL
"REP District Judge, 493rd Judicial District","REP District Judge, 493rd Judicial District.2 - UNDER VOTES",UNDER VOTES,44655,COLL
REP Sheriff,REP Sheriff - Jim Skinner,Jim Skinner,68564,COLL
REP Sheriff,REP Sheriff.1 - Sherwood Holmes,Sherwood Holmes,11205,COLL
REP Sheriff,REP Sheriff.2 - OVER VOTES,OVER VOTES,0,COLL
REP Sheriff,REP Sheriff.3 - UNDER VOTES,UNDER VOTES,21709,COLL
REP County Tax Assessor,REP County Tax Assessor-Collector - Cam McCall,Cam McCall,15694,COLL
REP County Tax Assessor,REP County Tax Assessor-Collector.1 - Scott Grigg,Scott Grigg,42827,COLL
REP County Tax Assessor,REP County Tax Assessor-Collector.2 - Angela Powell,Angela Powell,19101,COLL
REP County Tax Assessor,REP County Tax Assessor-Collector.3 - OVER VOTES,OVER VOTES,0,COLL
REP County Tax Assessor,REP County Tax Assessor-Collector.4 - UNDER VOTES,UNDER VOTES,23856,COLL
"REP County Commissioner, Precinct No 1","REP County Commissioner, Precinct No. 1 - Susan Fletcher",Susan Fletcher,13930,COLL
"REP County Commissioner, Precinct No 1","REP County Commissioner, Precinct No. 1.1 - OVER VOTES",OVER VOTES,0,COLL
"REP County Commissioner, Precinct No 1","REP County Commissioner, Precinct No. 1.2 - UNDER VOTES",UNDER VOTES,9221,COLL
"REP County Commissioner, Precinct No 3","REP County Commissioner, Precinct No. 3 - Jim Garrison",Jim Garrison,8173,COLL
"REP County Commissioner, Precinct No 3","REP County Commissioner, Precinct No. 3.1 - Darrell Hale",Darrell Hale,10525,COLL
"REP County Commissioner, Precinct No 3","REP County Commissioner, Precinct No. 3.2 - OVER VOTES",OVER VOTES,0,COLL
"REP County Commissioner, Precinct No 3","REP County Commissioner, Precinct No. 3.3 - UNDER VOTES",UNDER VOTES,6814,COLL
"REP Constable, Precinct No 1","REP Constable, Precinct No. 1 - Matt Carpenter",Matt Carpenter,11226,COLL
"REP Constable, Precinct No 1","REP Constable, Precinct No. 1.1 - Cris Trevino",Cris Trevino,3385,COLL
"REP Constable, Precinct No 1","REP Constable, Precinct No. 1.2 - OVER VOTES",OVER VOTES,0,COLL
"REP Constable, Precinct No 1","REP Constable, Precinct No. 1.3 - UNDER VOTES",UNDER VOTES,5452,COLL
"REP Constable, Precinct No 2","REP Constable, Precinct No. 2 - Dwayne Kurtz",Dwayne Kurtz,7107,COLL
"REP Constable, Precinct No 2","REP Constable, Precinct No. 2.1 - OVER VOTES",OVER VOTES,0,COLL
"REP Constable, Precinct No 2","REP Constable, Precinct No. 2.2 - UNDER VOTES",UNDER VOTES,5452,COLL
"REP Constable, Precinct No 3","REP Constable, Precinct No. 3 - Sammy Knapp",Sammy Knapp,19414,COLL
"REP Constable, Precinct No 3","REP Constable, Precinct No. 3.1 - OVER VOTES",OVER VOTES,0,COLL
"REP Constable, Precinct No 3","REP Constable, Precinct No. 3.2 - UNDER VOTES",UNDER VOTES,15633,COLL
"REP Constable, Precinct No 4","REP Constable, Precinct No. 4 - Steve Asher",Steve Asher,13928,COLL
"REP Constable, Precinct No 4","REP Constable, Precinct No. 4.1 - Mike Rumfield",Mike Rumfield,9095,COLL
"REP Constable, Precinct No 4","REP Constable, Precinct No. 4.2 - OVER VOTES",OVER VOTES,0,COLL
"REP Constable, Precinct No 4","REP Constable, Precinct No. 4.3 - UNDER VOTES",UNDER VOTES,10786,COLL
REP County Chair,REP County Chair - Shelby Williams,Shelby Williams,31916,COLL
REP County Chair,REP County Chair.1 - Ellen Loveless,Ellen Loveless,21148,COLL
REP County Chair,REP County Chair.2 - Howard Powers,Howard Powers,11200,COLL
REP County Chair,REP County Chair.3 - OVER VOTES,OVER VOTES,1,COLL
REP County Chair,REP County Chair.4 - UNDER VOTES,UNDER VOTES,37213,COLL
"REP Precinct Chair, Precinct No 41","REP Precinct Chair, Precinct No. 41 - Christy Sineni",Christy Sineni,182,COLL
"REP Precinct Chair, Precinct No 41","REP Precinct Chair, Precinct No. 41.1 - Tim McCord",Tim McCord,312,COLL
"REP Precinct Chair, Precinct No 41","REP Precinct Chair, Precinct No. 41.2 - OVER VOTES",OVER VOTES,0,COLL
"REP Precinct Chair, Precinct No 41","REP Precinct Chair, Precinct No. 41.3 - UNDER VOTES",UNDER VOTES,384,COLL
"REP Precinct Chair, Precinct No 58","REP Precinct Chair, Precinct No. 58 - Ghulam Warriach",Ghulam Warriach,32,COLL
"REP Precinct Chair, Precinct No 58","REP Precinct Chair, Precinct No. 58.1 - Bob Koons",Bob Koons,218,COLL
"REP Precinct Chair, Precinct No 58","REP Precinct Chair, Precinct No. 58.2 - OVER VOTES",OVER VOTES,0,COLL
"REP Precinct Chair, Precinct No 58","REP Precinct Chair, Precinct No. 58.3 - UNDER VOTES",UNDER VOTES,166,COLL
"REP Precinct Chair, Precinct No 69","REP Precinct Chair, Precinct No. 69 - Terry Wade",Terry Wade,338,COLL
