COUNTY NUMBER,PRECINCT CODE,PRECINCT NAME,REGISTERED VOTERS TOTAL,BALLOTS CAST TOTAL,BALLOTS CAST BLANK,"Councilmember, Place No. 3 - City of Allen","Councilmember, Place No. 3 - City of Allen","Councilmember, Place No. 3 - City of Allen","Councilmember, Place No. 3 - City of Allen","Councilmember, Place No. 5 - City of Allen","Councilmember, Place No. 5 - City of Allen","Councilmember, Place No. 5 - City of Allen","Councilmember, Place No. 5 - City of Allen","City Council, Place 4, Unexpired Term - City of Anna","City Council, Place 4, Unexpired Term - City of Anna","City Council, Place 4, Unexpired Term - City of Anna","City Council, Place 4, Unexpired Term - City of Anna",
Colin,0011,PCT 106,1851,39,0,13,26,0,0,11,28,0,0,0,0,0,0,
Colin,0011,PCT 106,1851,61,0,14,47,0,0,13,48,0,0,0,0,0,0,
Colin,0011,PCT 106,1851,7,0,2,5,0,0,1,6,0,0,0,0,0,0,
Colin,0011,PCT 106,1851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Colin,0011,PCT 106,1851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Colin,0012,PCT 113,3314,21,0,6,15,0,0,6,15,0,0,0,0,0,0,
Colin,0012,PCT 113,3314,107,0,35,72,0,0,36,71,0,0,0,0,0,0,
Colin,0012,PCT 113,3314,8,0,1,7,0,0,0,8,0,0,0,0,0,0,
Colin,0012,PCT 113,3314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Colin,0012,PCT 113,3314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Colin,0013,PCT 120,3591,68,0,40,28,0,0,40,28,0,0,0,0,0,0,
Colin,0013,PCT 120,3591,234,0,90,144,0,0,88,146,0,0,0,0,0,0,
Colin,0013,PCT 120,3591,9,0,3,6,0,0,1,8,0,0,0,0,0,0,
Colin,0013,PCT 120,3591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Colin,0013,PCT 120,3591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Colin,0014,PCT 121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Colin,0014,PCT 121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Colin,0014,PCT 121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Colin,0014,PCT 121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Colin,0014,PCT 121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Colin,0015,PCT 130,3916,60,0,30,30,0,0,27,33,0,0,0,0,0,0,
Colin,0015,PCT 130,3916,132,0,54,78,0,0,43,89,0,0,0,0,0,0,
Colin,0015,PCT 130,3916,12,0,3,9,0,0,4,8,0,0,0,0,0,0,
Colin,0015,PCT 130,3916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Colin,0015,PCT 130,3916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Colin,0016,PCT 145,1748,31,0,14,17,0,0,13,18,0,0,0,0,0,0,
Colin,0016,PCT 145,1748,59,0,20,39,0,0,18,41,0,0,0,0,0,0,
Colin,0016,PCT 145,1748,2,0,1,1,0,0,1,1,0,0,0,0,0,0,
Colin,0016,PCT 145,1748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Colin,0016,PCT 145,1748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Colin,0017,PCT 147,2220,26,0,5,21,0,0,8,17,0,1,0,0,0,0,
Colin,0017,PCT 147,2220,62,0,22,40,0,0,17,45,0,0,0,0,0,0,
Colin,0017,PCT 147,2220,6,0,2,4,0,0,1,5,0,0,0,0,0,0,
Colin,0017,PCT 147,2220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Colin,0017,PCT 147,2220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Colin,0018,PCT 151,1819,33,0,10,23,0,0,10,23,0,0,0,0,0,0,
Colin,0018,PCT 151,1819,47,0,15,32,0,0,14,33,0,0,0,0,0,0,
Colin,0018,PCT 151,1819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Colin,0018,PCT 151,1819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Colin,0018,PCT 151,1819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Colin,0019,PCT 157,4223,98,0,28,69,0,1,32,66,0,0,0,0,0,0,
Colin,0019,PCT 157,4223,155,0,69,86,0,0,63,92,0,0,0,0,0,0,
Colin,0019,PCT 157,4223,8,0,3,5,0,0,3,5,0,0,0,0,0,0,
Colin,0019,PCT 157,4223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Colin,0019,PCT 157,4223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Colin,0020,PCT 161,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Colin,0020,PCT 161,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Colin,0020,PCT 161,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Colin,0020,PCT 161,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Colin,0020,PCT 161,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Colin,0021,PCT 162,349,1,0,0,0,0,0,0,0,0,0,0,1,0,0,
Colin,0021,PCT 162,349,16,0,0,0,0,0,0,0,0,0,14,2,0,0,
Colin,0021,PCT 162,349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Colin,0021,PCT 162,349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Colin,0021,PCT 162,349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Colin,0022,PCT 168,1665,38,0,12,24,0,2,11,27,0,0,0,0,0,0,
Colin,0022,PCT 168,1665,57,0,27,29,0,1,26,31,0,0,0,0,0,0,
Colin,0022,PCT 168,1665,2,0,1,1,0,0,0,2,0,0,0,0,0,0,
Colin,0022,PCT 168,1665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Colin,0022,PCT 168,1665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Colin,0023,PCT 171,2826,29,0,11,18,0,0,11,18,0,0,0,0,0,0,
Colin,0023,PCT 171,2826,69,0,18,50,0,1,26,43,0,0,0,0,0,0,
Colin,0023,PCT 171,2826,9,0,4,5,0,0,3,6,0,0,0,0,0,0,
Colin,0023,PCT 171,2826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Colin,0023,PCT 171,2826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Colin,0024,PCT 172,2246,30,0,0,0,0,0,0,0,0,0,11,19,0,0,
Colin,0024,PCT 172,2246,85,0,0,0,0,0,0,0,0,0,20,65,0,0,
Colin,0024,PCT 172,2246,2,0,0,0,0,0,0,0,0,0,2,0,0,0,
Colin,0024,PCT 172,2246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Colin,0024,PCT 172,2246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Colin,0025,PCT 181,2436,27,0,0,0,0,0,0,0,0,0,14,13,0,0,
Colin,0025,PCT 181,2436,51,0,0,0,0,0,0,0,0,0,28,23,0,0,
Colin,0025,PCT 181,2436,2,0,0,0,0,0,0,0,0,0,1,1,0,0,
Colin,0025,PCT 181,2436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Colin,0025,PCT 181,2436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Colin,0026,PCT 182,3910,63,0,27,36,0,0,27,36,0,0,0,0,0,0,
Colin,0026,PCT 182,3910,195,0,77,118,0,0,74,121,0,0,0,0,0,0,
Colin,0026,PCT 182,3910,11,0,3,8,0,0,4,7,0,0,0,0,0,0,
Colin,0026,PCT 182,3910,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Colin,0026,PCT 182,3910,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Colin,0027,PCT 183,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Colin,0027,PCT 183,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Colin,0027,PCT 183,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Colin,0027,PCT 183,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Colin,0027,PCT 183,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Colin,0028,PCT 188,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Colin,0028,PCT 188,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Colin,0028,PCT 188,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Colin,0028,PCT 188,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Colin,0028,PCT 188,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Colin,0029,PCT 218,4209,58,0,11,47,0,0,12,46,0,0,0,0,0,0,
Colin,0029,PCT 218,4209,166,0,54,111,0,1,44,122,0,0,0,0,0,0,
Colin,0029,PCT 218,4209,3,0,0,3,0,0,0,3,0,0,0,0,0,0,
Colin,0029,PCT 218,4209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Colin,0029,PCT 218,4209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Colin,0030,PCT 219,4409,73,0,35,38,0,0,35,38,0,0,0,0,0,0,
Colin,0030,PCT 219,4409,185,0,75,109,0,1,71,114,0,0,0,0,0,0,
Colin,0030,PCT 219,4409,7,0,5,2,0,0,2,4,0,1,0,0,0,0,
Colin,0030,PCT 219,4409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Colin,0030,PCT 219,4409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Colin,0031,PCT 222,3865,47,0,23,23,0,1,23,24,0,0,0,0,0,0,
Colin,0031,PCT 222,3865,142,0,59,83,0,0,55,87,0,0,0,0,0,0,
Colin,0031,PCT 222,3865,17,0,7,10,0,0,8,9,0,0,0,0,0,0,
Colin,0031,PCT 222,3865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Colin,0031,PCT 222,3865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Colin,0032,PCT 223,2393,44,0,22,22,0,0,22,21,0,1,0,0,0,0,
Colin,0032,PCT 223,2393,91,0,27,62,0,2,26,65,0,0,0,0,0,0,
Colin,0032,PCT 223,2393,3,0,2,1,0,0,0,3,0,0,0,0,0,0,
Colin,0032,PCT 223,2393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Colin,0032,PCT 223,2393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Colin,0033,PCT 227,4383,65,0,30,35,0,0,29,36,0,0,0,0,0,0,
Colin,0033,PCT 227,4383,157,0,40,116,0,1,40,117,0,0,0,0,0,0,
Colin,0033,PCT 227,4383,16,0,9,7,0,0,8,8,0,0,0,0,0,0,
Colin,0033,PCT 227,4383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Colin,0033,PCT 227,4383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Colin,0034,PCT 249,4315,60,0,0,0,0,0,0,0,0,0,50,10,0,0,
Colin,0034,PCT 249,4315,92,0,0,0,0,0,0,0,0,0,76,16,0,0,
Colin,0034,PCT 249,4315,7,0,0,0,0,0,0,0,0,0,4,3,0,0,
Colin,0034,PCT 249,4315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Colin,0034,PCT 249,4315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Colin,0035,PCT 251,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Colin,0035,PCT 251,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Colin,0035,PCT 251,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Colin,0035,PCT 251,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Colin,0035,PCT 251,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Colin,ZZZ,COUNTY TOTALS,86597,4759,1,1683,2526,0,18,1591,2624,0,12,316,216,0,0,
