COUNTY NUMBER,PRECINCT CODE,PRECINCT NAME,REGISTERED VOTERS TOTAL,BALLOTS CAST TOTAL,BALLOTS CAST BLANK,"Councilmember, Place No. 3 - City of Allen","Councilmember, Place No. 3 - City of Allen","Councilmember, Place No. 3 - City of Allen","Councilmember, Place No. 3 - City of Allen","Councilmember, Place No. 5 - City of Allen","Councilmember, Place No. 5 - City of Allen","Councilmember, Place No. 5 - City of Allen","Councilmember, Place No. 5 - City of Allen","City Council, Place 4, Unexpired Term - City of Anna","City Council, Place 4, Unexpired Term - City of Anna","City Council, Place 4, Unexpired Term - City of Anna","City Council, Place 4, Unexpired Term - City of Anna",
,,,,,,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,
,,,VOTERS,BALLOTS CAST,BALLOTS CAST,Dave Cornette,Ken Cook,OVER VOTES,UNDER VOTES,Dave Shafer,Carl Clemencich,OVER VOTES,UNDER VOTES,Kelly Herndon,Bruce Norwood,OVER VOTES,UNDER VOTES,
Colin,0001,PCT 005,1039,26,0,15,11,0,0,13,12,0,1,0,0,0,0,
Colin,0001,PCT 005,1039,76,0,38,38,0,0,36,40,0,0,0,0,0,0,
Colin,0001,PCT 005,1039,6,0,4,2,0,0,5,1,0,0,0,0,0,0,
Colin,0001,PCT 005,1039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Colin,0001,PCT 005,1039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Colin,0002,PCT 006,1628,19,0,9,10,0,0,12,7,0,0,0,0,0,0,
Colin,0002,PCT 006,1628,52,0,19,33,0,0,18,34,0,0,0,0,0,0,
Colin,0002,PCT 006,1628,1,0,0,1,0,0,0,1,0,0,0,0,0,0,
Colin,0002,PCT 006,1628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Colin,0002,PCT 006,1628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Colin,0003,PCT 007,1538,14,0,3,11,0,0,4,10,0,0,0,0,0,0,
Colin,0003,PCT 007,1538,58,0,27,31,0,0,20,38,0,0,0,0,0,0,
Colin,0003,PCT 007,1538,3,0,0,3,0,0,3,0,0,0,0,0,0,0,
Colin,0003,PCT 007,1538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Colin,0003,PCT 007,1538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Colin,0004,PCT 017,5344,60,0,0,0,0,0,0,0,0,0,34,26,0,0,
Colin,0004,PCT 017,5344,88,0,0,0,0,0,0,0,0,0,55,33,0,0,
Colin,0004,PCT 017,5344,9,0,0,0,0,0,0,0,0,0,7,2,0,0,
Colin,0004,PCT 017,5344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Colin,0004,PCT 017,5344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Colin,0005,PCT 018,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Colin,0005,PCT 018,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Colin,0005,PCT 018,5,2,0,0,0,0,0,0,0,0,0,0,2,0,0,
Colin,0005,PCT 018,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Colin,0005,PCT 018,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Colin,0006,PCT 040,3578,71,0,40,31,0,0,35,35,0,1,0,0,0,0,
Colin,0006,PCT 040,3578,175,0,80,93,0,2,79,96,0,0,0,0,0,0,
Colin,0006,PCT 040,3578,30,0,13,17,0,0,20,9,0,1,0,0,0,0,
Colin,0006,PCT 040,3578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Colin,0006,PCT 040,3578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Colin,0007,PCT 059,4030,72,0,41,31,0,0,40,32,0,0,0,0,0,0,
Colin,0007,PCT 059,4030,177,0,78,98,0,1,66,110,0,1,0,0,0,0,
Colin,0007,PCT 059,4030,18,0,11,7,0,0,9,9,0,0,0,0,0,0,
Colin,0007,PCT 059,4030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Colin,0007,PCT 059,4030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Colin,0008,PCT 080,3601,51,0,20,31,0,0,17,34,0,0,0,0,0,0,
Colin,0008,PCT 080,3601,177,0,65,112,0,0,56,120,0,1,0,0,0,0,
Colin,0008,PCT 080,3601,24,0,10,14,0,0,7,17,0,0,0,0,0,0,
Colin,0008,PCT 080,3601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Colin,0008,PCT 080,3601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Colin,0009,PCT 082,2928,33,0,21,12,0,0,20,12,0,1,0,0,0,0,
Colin,0009,PCT 082,2928,96,0,50,46,0,0,47,49,0,0,0,0,0,0,
Colin,0009,PCT 082,2928,11,0,7,4,0,0,7,4,0,0,0,0,0,0,
Colin,0009,PCT 082,2928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Colin,0009,PCT 082,2928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Colin,0010,PCT 095,3147,57,0,23,34,0,0,20,37,0,0,0,0,0,0,
Colin,0010,PCT 095,3147,142,1,49,89,0,4,48,91,0,3,0,0,0,0,
Colin,0010,PCT 095,3147,6,0,1,5,0,0,2,4,0,0,0,0,0,0,
Colin,0010,PCT 095,3147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Colin,0010,PCT 095,3147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
