RACE,UNEDITED,CANDIDATE,VOTES,COUNTY
BALLOTS CAST,BALLOTS CAST - Republican - BALLOTS CAST,BALLOTS CAST,84079,COLL
BALLOTS CAST,BALLOTS CAST - Democratic - BALLOTS CAST,BALLOTS CAST,29980,COLL
REP President,REP President - Vivek Ramaswamy,Vivek Ramaswamy,575,COLL
REP President,REP President.1 - Chris Christie,Chris Christie,352,COLL
REP President,REP President.2 - David Stuckenberg,David Stuckenberg,76,COLL
REP President,REP President.3 - Donald J. Trump,Donald J. Trump,57896,COLL
REP President,REP President.4 - Nikki Haley,Nikki Haley,20749,COLL
REP President,REP President.5 - Ron DeSantis,Ron DeSantis,1566,COLL
REP President,REP President.6 - Asa Hutchinson,Asa Hutchinson,92,COLL
REP President,REP President.7 - Ryan L. Binkley,Ryan L. Binkley,143,COLL
REP President,REP President.8 - Uncommitted,Uncommitted,1789,COLL
REP President,REP President.9 - OVER VOTES,OVER VOTES,0,COLL
REP President,REP President.10 - UNDER VOTES,UNDER VOTES,841,COLL
REP United States Senator,REP United States Senator - Holland “Redd” Gibson,Holland “Redd” Gibson,6444,COLL
REP United States Senator,REP United States Senator.1 - R.E. (Rufus) Lopez,R.E. (Rufus) Lopez,5574,COLL
REP United States Senator,REP United States Senator.2 - Ted Cruz,Ted Cruz,67142,COLL
REP United States Senator,REP United States Senator.3 - OVER VOTES,OVER VOTES,1,COLL
REP United States Senator,REP United States Senator.4 - UNDER VOTES,UNDER VOTES,4918,COLL
"REP United States Representative, District 3","REP United States Representative, District 3 - Suzanne Harp",Suzanne Harp,10306,COLL
"REP United States Representative, District 3","REP United States Representative, District 3.1 - Tre Pennie",Tre Pennie,2098,COLL
"REP United States Representative, District 3","REP United States Representative, District 3.2 - Jeremy D. Ivanovskis",Jeremy D. Ivanovskis,885,COLL
"REP United States Representative, District 3","REP United States Representative, District 3.3 - John Porro",John Porro,1471,COLL
"REP United States Representative, District 3","REP United States Representative, District 3.4 - Keith Self",Keith Self,40171,COLL
"REP United States Representative, District 3","REP United States Representative, District 3.5 - OVER VOTES",OVER VOTES,0,COLL
"REP United States Representative, District 3","REP United States Representative, District 3.6 - UNDER VOTES",UNDER VOTES,6703,COLL
"REP United States Representative, District 4","REP United States Representative, District 4 - Don Horn",Don Horn,3148,COLL
"REP United States Representative, District 4","REP United States Representative, District 4.1 - Pat Fallon",Pat Fallon,11547,COLL
"REP United States Representative, District 4","REP United States Representative, District 4.2 - OVER VOTES",OVER VOTES,0,COLL
"REP United States Representative, District 4","REP United States Representative, District 4.3 - UNDER VOTES",UNDER VOTES,3788,COLL
"REP United States Representative, District 32","REP United States Representative, District 32 - Gulrez “Gus” Khan",Gulrez “Gus” Khan,248,COLL
"REP United States Representative, District 32","REP United States Representative, District 32.1 - Darrell Day",Darrell Day,1448,COLL
"REP United States Representative, District 32","REP United States Representative, District 32.2 - Juan Feria",Juan Feria,232,COLL
"REP United States Representative, District 32","REP United States Representative, District 32.3 - David Blewett",David Blewett,1099,COLL
"REP United States Representative, District 32","REP United States Representative, District 32.4 - OVER VOTES",OVER VOTES,0,COLL
"REP United States Representative, District 32","REP United States Representative, District 32.5 - UNDER VOTES",UNDER VOTES,913,COLL
REP Railroad Commissioner,REP Railroad Commissioner - Christie Clark,Christie Clark,9952,COLL
REP Railroad Commissioner,REP Railroad Commissioner.1 - Christi Craddick,Christi Craddick,40204,COLL
REP Railroad Commissioner,REP Railroad Commissioner.2 - Petra Reyes,Petra Reyes,2478,COLL
REP Railroad Commissioner,REP Railroad Commissioner.3 - Corey Howell,Corey Howell,2399,COLL
REP Railroad Commissioner,REP Railroad Commissioner.4 - James “Jim” Matlock,James “Jim” Matlock,12610,COLL
REP Railroad Commissioner,REP Railroad Commissioner.5 - OVER VOTES,OVER VOTES,1,COLL
REP Railroad Commissioner,REP Railroad Commissioner.6 - UNDER VOTES,UNDER VOTES,16435,COLL
"REP Justice, Supreme Court, Place 2","REP Justice, Supreme Court, Place 2 - Jimmy Blacklock",Jimmy Blacklock,54047,COLL
"REP Justice, Supreme Court, Place 2","REP Justice, Supreme Court, Place 2.1 - OVER VOTES",OVER VOTES,0,COLL
"REP Justice, Supreme Court, Place 2","REP Justice, Supreme Court, Place 2.2 - UNDER VOTES",UNDER VOTES,30032,COLL
"REP Justice, Supreme Court, Place 4","REP Justice, Supreme Court, Place 4 - John Devine",John Devine,40682,COLL
