RACE,UNEDITED,CANDIDATE,VOTES,COUNTY
Mayor – City of Allen,Mayor – City of Allen - Baine Brooks,Baine Brooks,0,Colin
Mayor – City of Allen,Mayor – City of Allen.1 - OVER VOTES,OVER VOTES,0,Colin
Mayor – City of Allen,Mayor – City of Allen.2 - UNDER VOTES,UNDER VOTES,0,Colin
"Councilmember, Place No 2 – City of Allen","Councilmember, Place No. 2 – City of Allen - Nathan Polsky",Nathan Polsky,0,Colin
"Councilmember, Place No 2 – City of Allen","Councilmember, Place No. 2 – City of Allen.1 - Tommy Baril",Tommy Baril,0,Colin
"Councilmember, Place No 2 – City of Allen","Councilmember, Place No. 2 – City of Allen.2 - OVER VOTES",OVER VOTES,0,Colin
"Councilmember, Place No 2 – City of Allen","Councilmember, Place No. 2 – City of Allen.3 - UNDER VOTES",UNDER VOTES,0,Colin
"City Council, Place 3 – City of Anna","City Council, Place 3 – City of Anna - Bryan F. Heath",Bryan F. Heath,0,Colin
"City Council, Place 3 – City of Anna","City Council, Place 3 – City of Anna.1 - Stan Carver II",Stan Carver II,0,Colin
"City Council, Place 3 – City of Anna","City Council, Place 3 – City of Anna.2 - Kelly Herndon",Kelly Herndon,0,Colin
"City Council, Place 3 – City of Anna","City Council, Place 3 – City of Anna.3 - OVER VOTES",OVER VOTES,0,Colin
"City Council, Place 3 – City of Anna","City Council, Place 3 – City of Anna.4 - UNDER VOTES",UNDER VOTES,0,Colin
"City Council, Place 5 – City of Anna","City Council, Place 5 – City of Anna - Elden Baker",Elden Baker,0,Colin
"City Council, Place 5 – City of Anna","City Council, Place 5 – City of Anna.1 - Danny Ussery",Danny Ussery,0,Colin
"City Council, Place 5 – City of Anna","City Council, Place 5 – City of Anna.2 - OVER VOTES",OVER VOTES,0,Colin
"City Council, Place 5 – City of Anna","City Council, Place 5 – City of Anna.3 - UNDER VOTES",UNDER VOTES,0,Colin
Mayor – City of Carrollton,Mayor – City of Carrollton - Steve Babick,Steve Babick,0,Colin
Mayor – City of Carrollton,Mayor – City of Carrollton.1 - Young Sung,Young Sung,0,Colin
Mayor – City of Carrollton,Mayor – City of Carrollton.2 - Adam Polter,Adam Polter,0,Colin
Mayor – City of Carrollton,Mayor – City of Carrollton.3 - OVER VOTES,OVER VOTES,0,Colin
Mayor – City of Carrollton,Mayor – City of Carrollton.4 - UNDER VOTES,UNDER VOTES,0,Colin
"City Council, Place 2 – City of Carrollton","City Council, Place 2 – City of Carrollton - Jason Carpenter",Jason Carpenter,0,Colin
"City Council, Place 2 – City of Carrollton","City Council, Place 2 – City of Carrollton.1 - Eddie Lopez",Eddie Lopez,0,Colin
"City Council, Place 2 – City of Carrollton","City Council, Place 2 – City of Carrollton.2 - OVER VOTES",OVER VOTES,0,Colin
"City Council, Place 2 – City of Carrollton","City Council, Place 2 – City of Carrollton.3 - UNDER VOTES",UNDER VOTES,0,Colin
"City Council, Place 4 – City of Carrollton","City Council, Place 4 – City of Carrollton - Andrew Palacios",Andrew Palacios,0,Colin
"City Council, Place 4 – City of Carrollton","City Council, Place 4 – City of Carrollton.1 - Brittney Verdell",Brittney Verdell,0,Colin
"City Council, Place 4 – City of Carrollton","City Council, Place 4 – City of Carrollton.2 - OVER VOTES",OVER VOTES,0,Colin
"City Council, Place 4 – City of Carrollton","City Council, Place 4 – City of Carrollton.3 - UNDER VOTES",UNDER VOTES,0,Colin
"City Council, Place 6 – City of Carrollton","City Council, Place 6 – City of Carrollton - Mike Dooling",Mike Dooling,0,Colin
"City Council, Place 6 – City of Carrollton","City Council, Place 6 – City of Carrollton.1 - Daisy Palomo",Daisy Palomo,0,Colin
"City Council, Place 6 – City of Carrollton","City Council, Place 6 – City of Carrollton.2 - OVER VOTES",OVER VOTES,0,Colin
"City Council, Place 6 – City of Carrollton","City Council, Place 6 – City of Carrollton.3 - UNDER VOTES",UNDER VOTES,0,Colin
Mayor – City of Celina,Mayor – City of Celina - Ryan Tubbs,Ryan Tubbs,0,Colin
Mayor – City of Celina,Mayor – City of Celina.1 - Sean Terry,Sean Terry,0,Colin
Mayor – City of Celina,Mayor – City of Celina.2 - OVER VOTES,OVER VOTES,0,Colin
Mayor – City of Celina,Mayor – City of Celina.3 - UNDER VOTES,UNDER VOTES,0,Colin
"Councilman, Place 4 – City of Celina","Councilman, Place 4 – City of Celina - KJ Clark",KJ Clark,0,Colin
"Councilman, Place 4 – City of Celina","Councilman, Place 4 – City of Celina.1 - Wendie Wigginton",Wendie Wigginton,0,Colin
"Councilman, Place 4 – City of Celina","Councilman, Place 4 – City of Celina.2 - OVER VOTES",OVER VOTES,0,Colin
"Councilman, Place 4 – City of Celina","Councilman, Place 4 – City of Celina.3 - UNDER VOTES",UNDER VOTES,0,Colin
"Councilman, Place 5 – City of Celina","Councilman, Place 5 – City of Celina - Mindy Koehne",Mindy Koehne,0,Colin
"Councilman, Place 5 – City of Celina","Councilman, Place 5 – City of Celina.1 - OVER VOTES",OVER VOTES,0,Colin
"Councilman, Place 5 – City of Celina","Councilman, Place 5 – City of Celina.2 - UNDER VOTES",UNDER VOTES,0,Colin
Mayor – City of Dallas,Mayor – City of Dallas - Eric Johnson,Eric Johnson,0,Colin
Mayor – City of Dallas,Mayor – City of Dallas.1 - Write-in,Write-in,0,Colin
Mayor – City of Dallas,Mayor – City of Dallas.2 - OVER VOTES,OVER VOTES,0,Colin
Mayor – City of Dallas,Mayor – City of Dallas.3 - UNDER VOTES,UNDER VOTES,0,Colin
"Member of Council, District 12 – City of Dallas","Member of Council, District 12 – City of Dallas - Cara Mendelsohn",Cara Mendelsohn,0,Colin
"Member of Council, District 12 – City of Dallas","Member of Council, District 12 – City of Dallas.1 - OVER VOTES",OVER VOTES,0,Colin
"Member of Council, District 12 – City of Dallas","Member of Council, District 12 – City of Dallas.2 - UNDER VOTES",UNDER VOTES,0,Colin
"Councilmember, Place 1 – City of Farmersville","Councilmember, Place 1 – City of Farmersville - Mary Berry",Mary Berry,0,Colin
"Councilmember, Place 1 – City of Farmersville","Councilmember, Place 1 – City of Farmersville.1 - Coleman Strickland",Coleman Strickland,0,Colin
"Councilmember, Place 1 – City of Farmersville","Councilmember, Place 1 – City of Farmersville.2 - Richard Repp",Richard Repp,0,Colin
"Councilmember, Place 1 – City of Farmersville","Councilmember, Place 1 – City of Farmersville.3 - OVER VOTES",OVER VOTES,0,Colin
"Councilmember, Place 1 – City of Farmersville","Councilmember, Place 1 – City of Farmersville.4 - UNDER VOTES",UNDER VOTES,0,Colin
"Councilmember, Place 3 – City of Farmersville","Councilmember, Place 3 – City of Farmersville - Ted Wagner",Ted Wagner,0,Colin
"Councilmember, Place 3 – City of Farmersville","Councilmember, Place 3 – City of Farmersville.1 - OVER VOTES",OVER VOTES,0,Colin
"Councilmember, Place 3 – City of Farmersville","Councilmember, Place 3 – City of Farmersville.2 - UNDER VOTES",UNDER VOTES,0,Colin
Proposition No 1 – City of Farmersville,Proposition No. 1 – City of Farmersville - For,For,0,Colin
Proposition No 1 – City of Farmersville,Proposition No. 1 – City of Farmersville.1 - Against,Against,0,Colin
Proposition No 1 – City of Farmersville,Proposition No. 1 – City of Farmersville.2 - OVER VOTES,OVER VOTES,0,Colin
Proposition No 1 – City of Farmersville,Proposition No. 1 – City of Farmersville.3 - UNDER VOTES,UNDER VOTES,0,Colin
Proposition No 2 – City of Farmersville,Proposition No. 2 – City of Farmersville - For,For,0,Colin
Proposition No 2 – City of Farmersville,Proposition No. 2 – City of Farmersville.1 - Against,Against,0,Colin
Proposition No 2 – City of Farmersville,Proposition No. 2 – City of Farmersville.2 - OVER VOTES,OVER VOTES,0,Colin
Proposition No 2 – City of Farmersville,Proposition No. 2 – City of Farmersville.3 - UNDER VOTES,UNDER VOTES,0,Colin
Mayor – City of Frisco,Mayor – City of Frisco - Jonathan David Spencer,Jonathan David Spencer,0,Colin
Mayor – City of Frisco,Mayor – City of Frisco.1 - Mark Piland,Mark Piland,0,Colin
Mayor – City of Frisco,Mayor – City of Frisco.2 - Jeff Cheney,Jeff Cheney,0,Colin
Mayor – City of Frisco,Mayor – City of Frisco.3 - OVER VOTES,OVER VOTES,0,Colin
Mayor – City of Frisco,Mayor – City of Frisco.4 - UNDER VOTES,UNDER VOTES,0,Colin
"City Council, Place 5 – City of Frisco","City Council, Place 5 – City of Frisco - Anwer Azam",Anwer Azam,0,Colin
"City Council, Place 5 – City of Frisco","City Council, Place 5 – City of Frisco.1 - Laura Rummel",Laura Rummel,0,Colin
"City Council, Place 5 – City of Frisco","City Council, Place 5 – City of Frisco.2 - OVER VOTES",OVER VOTES,0,Colin
"City Council, Place 5 – City of Frisco","City Council, Place 5 – City of Frisco.3 - UNDER VOTES",UNDER VOTES,0,Colin
"City Council, Place 6 – City of Frisco","City Council, Place 6 – City of Frisco - Brian Livingston",Brian Livingston,0,Colin
"City Council, Place 6 – City of Frisco","City Council, Place 6 – City of Frisco.1 - OVER VOTES",OVER VOTES,0,Colin
"City Council, Place 6 – City of Frisco","City Council, Place 6 – City of Frisco.2 - UNDER VOTES",UNDER VOTES,0,Colin
Proposition A – City of Frisco,Proposition A – City of Frisco - For,For,0,Colin
Proposition A – City of Frisco,Proposition A – City of Frisco.1 - Against,Against,0,Colin
Proposition A – City of Frisco,Proposition A – City of Frisco.2 - OVER VOTES,OVER VOTES,0,Colin
Proposition A – City of Frisco,Proposition A – City of Frisco.3 - UNDER VOTES,UNDER VOTES,0,Colin
Proposition B – City of Frisco,Proposition B – City of Frisco - For,For,0,Colin
Proposition B – City of Frisco,Proposition B – City of Frisco.1 - Against,Against,0,Colin
Proposition B – City of Frisco,Proposition B – City of Frisco.2 - OVER VOTES,OVER VOTES,0,Colin
Proposition B – City of Frisco,Proposition B – City of Frisco.3 - UNDER VOTES,UNDER VOTES,0,Colin
Proposition C – City of Frisco,Proposition C – City of Frisco - For,For,0,Colin
Proposition C – City of Frisco,Proposition C – City of Frisco.1 - Against,Against,0,Colin
Proposition C – City of Frisco,Proposition C – City of Frisco.2 - OVER VOTES,OVER VOTES,0,Colin
Proposition C – City of Frisco,Proposition C – City of Frisco.3 - UNDER VOTES,UNDER VOTES,0,Colin
Proposition D – City of Frisco,Proposition D – City of Frisco - For,For,0,Colin
Proposition D – City of Frisco,Proposition D – City of Frisco.1 - Against,Against,0,Colin
Proposition D – City of Frisco,Proposition D – City of Frisco.2 - OVER VOTES,OVER VOTES,0,Colin
Proposition D – City of Frisco,Proposition D – City of Frisco.3 - UNDER VOTES,UNDER VOTES,0,Colin
Proposition E – City of Frisco,Proposition E – City of Frisco - For,For,0,Colin
Proposition E – City of Frisco,Proposition E – City of Frisco.1 - Against,Against,0,Colin
Proposition E – City of Frisco,Proposition E – City of Frisco.2 - OVER VOTES,OVER VOTES,0,Colin
Proposition E – City of Frisco,Proposition E – City of Frisco.3 - UNDER VOTES,UNDER VOTES,0,Colin
Mayor – City of Garland,Mayor – City of Garland - Roel G. Garcia,Roel G. Garcia,0,Colin
Mayor – City of Garland,Mayor – City of Garland.1 - Scott LeMay,Scott LeMay,0,Colin
Mayor – City of Garland,Mayor – City of Garland.2 - OVER VOTES,OVER VOTES,0,Colin
Mayor – City of Garland,Mayor – City of Garland.3 - UNDER VOTES,UNDER VOTES,0,Colin
"Council Member, At","Council Member, At-Large No. 2 – City of McKinney - Michael Jones",Michael Jones,0,Colin
"Council Member, At","Council Member, At-Large No. 2 – City of McKinney.1 - Tom Meredith",Tom Meredith,0,Colin
"Council Member, At","Council Member, At-Large No. 2 – City of McKinney.2 - Taiwo Ajunwon",Taiwo Ajunwon,0,Colin
"Council Member, At","Council Member, At-Large No. 2 – City of McKinney.3 - OVER VOTES",OVER VOTES,0,Colin
"Council Member, At","Council Member, At-Large No. 2 – City of McKinney.4 - UNDER VOTES",UNDER VOTES,0,Colin
"Council Member, District No 2 – City of McKinney","Council Member, District No. 2 – City of McKinney - Patrick J. Cloutier",Patrick J. Cloutier,0,Colin
"Council Member, District No 2 – City of McKinney","Council Member, District No. 2 – City of McKinney.1 - Michael Silva",Michael Silva,0,Colin
"Council Member, District No 2 – City of McKinney","Council Member, District No. 2 – City of McKinney.2 - OVER VOTES",OVER VOTES,0,Colin
"Council Member, District No 2 – City of McKinney","Council Member, District No. 2 – City of McKinney.3 - UNDER VOTES",UNDER VOTES,0,Colin
"Council Member, District No 4 – City of McKinney","Council Member, District No. 4 – City of McKinney - Rick Franklin",Rick Franklin,0,Colin
"Council Member, District No 4 – City of McKinney","Council Member, District No. 4 – City of McKinney.1 - OVER VOTES",OVER VOTES,0,Colin
"Council Member, District No 4 – City of McKinney","Council Member, District No. 4 – City of McKinney.2 - UNDER VOTES",UNDER VOTES,0,Colin
Proposition A – City of McKinney,Proposition A – City of McKinney - FOR,FOR,0,Colin
Proposition A – City of McKinney,Proposition A – City of McKinney.1 - AGAINST,AGAINST,0,Colin
Proposition A – City of McKinney,Proposition A – City of McKinney.2 - OVER VOTES,OVER VOTES,0,Colin
Proposition A – City of McKinney,Proposition A – City of McKinney.3 - UNDER VOTES,UNDER VOTES,0,Colin
Mayor City of Murphy,Mayor City of Murphy - Scott Bradley,Scott Bradley,0,Colin
Mayor City of Murphy,Mayor City of Murphy.1 - OVER VOTES,OVER VOTES,0,Colin
Mayor City of Murphy,Mayor City of Murphy.2 - UNDER VOTES,UNDER VOTES,0,Colin
"Council Member, Place 3 – City of Murphy","Council Member, Place 3 – City of Murphy - W. Scott Smith",W. Scott Smith,0,Colin
"Council Member, Place 3 – City of Murphy","Council Member, Place 3 – City of Murphy.1 - Andrew Chase",Andrew Chase,0,Colin
"Council Member, Place 3 – City of Murphy","Council Member, Place 3 – City of Murphy.2 - OVER VOTES",OVER VOTES,0,Colin
"Council Member, Place 3 – City of Murphy","Council Member, Place 3 – City of Murphy.3 - UNDER VOTES",UNDER VOTES,0,Colin
"Council Member, Place 5 – City of Murphy","Council Member, Place 5 – City of Murphy - Laura Deel",Laura Deel,0,Colin
"Council Member, Place 5 – City of Murphy","Council Member, Place 5 – City of Murphy.1 - Sarah Fincanon",Sarah Fincanon,0,Colin
"Council Member, Place 5 – City of Murphy","Council Member, Place 5 – City of Murphy.2 - OVER VOTES",OVER VOTES,0,Colin
"Council Member, Place 5 – City of Murphy","Council Member, Place 5 – City of Murphy.3 - UNDER VOTES",UNDER VOTES,0,Colin
Proposition A – City of Murphy,Proposition A – City of Murphy - For,For,0,Colin
Proposition A – City of Murphy,Proposition A – City of Murphy.1 - Against,Against,0,Colin
Proposition A – City of Murphy,Proposition A – City of Murphy.2 - OVER VOTES,OVER VOTES,0,Colin
Proposition A – City of Murphy,Proposition A – City of Murphy.3 - UNDER VOTES,UNDER VOTES,0,Colin
"Councilmember, Place 3 – City of Nevada","Councilmember, Place 3 – City of Nevada - Kerrie Longoria",Kerrie Longoria,0,Colin
"Councilmember, Place 3 – City of Nevada","Councilmember, Place 3 – City of Nevada.1 - OVER VOTES",OVER VOTES,0,Colin
"Councilmember, Place 3 – City of Nevada","Councilmember, Place 3 – City of Nevada.2 - UNDER VOTES",UNDER VOTES,0,Colin
"Councilmember, Place 4 – City of Nevada","Councilmember, Place 4 – City of Nevada - Clayton Earl Laughter",Clayton Earl Laughter,0,Colin
"Councilmember, Place 4 – City of Nevada","Councilmember, Place 4 – City of Nevada.1 - OVER VOTES",OVER VOTES,0,Colin
"Councilmember, Place 4 – City of Nevada","Councilmember, Place 4 – City of Nevada.2 - UNDER VOTES",UNDER VOTES,0,Colin
"Councilmember, Place 5 – City of Nevada","Councilmember, Place 5 – City of Nevada - Frank Hudson",Frank Hudson,0,Colin
"Councilmember, Place 5 – City of Nevada","Councilmember, Place 5 – City of Nevada.1 - OVER VOTES",OVER VOTES,0,Colin
"Councilmember, Place 5 – City of Nevada","Councilmember, Place 5 – City of Nevada.2 - UNDER VOTES",UNDER VOTES,0,Colin
Proposition A – City of Nevada,Proposition A – City of Nevada - For,For,0,Colin
Proposition A – City of Nevada,Proposition A – City of Nevada.1 - Against,Against,0,Colin
Proposition A – City of Nevada,Proposition A – City of Nevada.2 - OVER VOTES,OVER VOTES,0,Colin
Proposition A – City of Nevada,Proposition A – City of Nevada.3 - UNDER VOTES,UNDER VOTES,0,Colin
Councilmember At,Councilmember At-Large – City of Parker - Cindy Meyer,Cindy Meyer,0,Colin
Councilmember At,Councilmember At-Large – City of Parker.1 - Jim Reed,Jim Reed,0,Colin
Councilmember At,Councilmember At-Large – City of Parker.2 - Todd Fecht,Todd Fecht,0,Colin
Councilmember At,Councilmember At-Large – City of Parker.3 - Amanda Noe,Amanda Noe,0,Colin
Councilmember At,Councilmember At-Large – City of Parker.4 - OVER VOTES,OVER VOTES,0,Colin
Councilmember At,Councilmember At-Large – City of Parker.5 - UNDER VOTES,UNDER VOTES,0,Colin
Proposition A – City of Parker,Proposition A – City of Parker - FOR,FOR,0,Colin
Proposition A – City of Parker,Proposition A – City of Parker.1 - AGAINST,AGAINST,0,Colin
Proposition A – City of Parker,Proposition A – City of Parker.2 - OVER VOTES,OVER VOTES,0,Colin
Proposition A – City of Parker,Proposition A – City of Parker.3 - UNDER VOTES,UNDER VOTES,0,Colin
Proposition B – City of Parker,Proposition B – City of Parker - FOR,FOR,0,Colin
Proposition B – City of Parker,Proposition B – City of Parker.1 - AGAINST,AGAINST,0,Colin
Proposition B – City of Parker,Proposition B – City of Parker.2 - OVER VOTES,OVER VOTES,0,Colin
Proposition B – City of Parker,Proposition B – City of Parker.3 - UNDER VOTES,UNDER VOTES,0,Colin
Proposition C – City of Parker,Proposition C – City of Parker - FOR,FOR,0,Colin
Proposition C – City of Parker,Proposition C – City of Parker.1 - AGAINST,AGAINST,0,Colin
Proposition C – City of Parker,Proposition C – City of Parker.2 - OVER VOTES,OVER VOTES,0,Colin
Proposition C – City of Parker,Proposition C – City of Parker.3 - UNDER VOTES,UNDER VOTES,0,Colin
"Councilmember, Place No 1, District No","Councilmember, Place No. 1, District No. 1 – City of Plano - Maria Tu",Maria Tu,0,Colin
"Councilmember, Place No 1, District No 1 – City of Plano","Councilmember, Place No. 1, District No. 1 – City of Plano.1 - OVER VOTES",OVER VOTES,0,Colin
"Councilmember, Place No 1, District No 1 – City of Plano","Councilmember, Place No. 1, District No. 1 – City of Plano.2 - UNDER VOTES",UNDER VOTES,0,Colin
"Councilmember, Place No 3, District No","Councilmember, Place No. 3, District No. 3 – City of Plano - Rick Horne",Rick Horne,0,Colin
"Councilmember, Place No 3, District No 3 – City of Plano","Councilmember, Place No. 3, District No. 3 – City of Plano.1 - Colleen Aguilar-Epstein",Colleen Aguilar-Epstein,0,Colin
"Councilmember, Place No 3, District No 3 – City of Plano","Councilmember, Place No. 3, District No. 3 – City of Plano.2 - OVER VOTES",OVER VOTES,0,Colin
"Councilmember, Place No 3, District No 3 – City of Plano","Councilmember, Place No. 3, District No. 3 – City of Plano.3 - UNDER VOTES",UNDER VOTES,0,Colin
"Councilmember, Place No 5 – City of Plano","Councilmember, Place No. 5 – City of Plano - Shelby Williams",Shelby Williams,0,Colin
"Councilmember, Place No 5 – City of Plano","Councilmember, Place No. 5 – City of Plano.1 - Brett Cooper",Brett Cooper,0,Colin
"Councilmember, Place No 5 – City of Plano","Councilmember, Place No. 5 – City of Plano.2 - OVER VOTES",OVER VOTES,0,Colin
"Councilmember, Place No 5 – City of Plano","Councilmember, Place No. 5 – City of Plano.3 - UNDER VOTES",UNDER VOTES,0,Colin
"Councilmember, Place No 7 – City of Plano","Councilmember, Place No. 7 – City of Plano - Julie Holmer",Julie Holmer,0,Colin
"Councilmember, Place No 7 – City of Plano","Councilmember, Place No. 7 – City of Plano.1 - OVER VOTES",OVER VOTES,0,Colin
"Councilmember, Place No 7 – City of Plano","Councilmember, Place No. 7 – City of Plano.2 - UNDER VOTES",UNDER VOTES,0,Colin
Proposition A,Proposition A - Town of Prosper - For,For,0,Colin
Proposition A,Proposition A - Town of Prosper.1 - Against,Against,0,Colin
Proposition A,Proposition A - Town of Prosper.2 - OVER VOTES,OVER VOTES,0,Colin
Proposition A,Proposition A - Town of Prosper.3 - UNDER VOTES,UNDER VOTES,0,Colin
Proposition B,Proposition B - Town of  Prosper - For,For,0,Colin
Proposition B,Proposition B - Town of  Prosper.1 - Against,Against,0,Colin
Proposition B,Proposition B - Town of  Prosper.2 - OVER VOTES,OVER VOTES,0,Colin
Proposition B,Proposition B - Town of  Prosper.3 - UNDER VOTES,UNDER VOTES,0,Colin
Mayor – City of Richardson,Mayor – City of Richardson - Bob Dubey,Bob Dubey,0,Colin
Mayor – City of Richardson,Mayor – City of Richardson.1 - Janet DePuy,Janet DePuy,0,Colin
Mayor – City of Richardson,Mayor – City of Richardson.2 - OVER VOTES,OVER VOTES,0,Colin
Mayor – City of Richardson,Mayor – City of Richardson.3 - UNDER VOTES,UNDER VOTES,0,Colin
"Council Member, Place 1 – City of Richardson","Council Member, Place 1 – City of Richardson - G. Scott Waddell",G. Scott Waddell,0,Colin
"Council Member, Place 1 – City of Richardson","Council Member, Place 1 – City of Richardson.1 - Curtis Dorian",Curtis Dorian,0,Colin
"Council Member, Place 1 – City of Richardson","Council Member, Place 1 – City of Richardson.2 - OVER VOTES",OVER VOTES,0,Colin
"Council Member, Place 1 – City of Richardson","Council Member, Place 1 – City of Richardson.3 - UNDER VOTES",UNDER VOTES,0,Colin
Council Member Place 2 – City of Richardson,Council Member Place 2 – City of Richardson - Jennifer Justice,Jennifer Justice,0,Colin
Council Member Place 2 – City of Richardson,Council Member Place 2 – City of Richardson.1 - OVER VOTES,OVER VOTES,0,Colin
Council Member Place 2 – City of Richardson,Council Member Place 2 – City of Richardson.2 - UNDER VOTES,UNDER VOTES,0,Colin
Council Member Place 3 – City of Richardson,Council Member Place 3 – City of Richardson - Dan Barrios,Dan Barrios,0,Colin
Council Member Place 3 – City of Richardson,Council Member Place 3 – City of Richardson.1 - Stephen Springs,Stephen Springs,0,Colin
Council Member Place 3 – City of Richardson,Council Member Place 3 – City of Richardson.2 - OVER VOTES,OVER VOTES,0,Colin
Council Member Place 3 – City of Richardson,Council Member Place 3 – City of Richardson.3 - UNDER VOTES,UNDER VOTES,0,Colin
Council Member Place 4 – City of Richardson,Council Member Place 4 – City of Richardson - Joe Corcoran,Joe Corcoran,0,Colin
