RACE,UNEDITED,CANDIDATE,VOTES,COUNTY
"City Council, Place 6 – City of Carrollton","RACE_CANDIDATES    City Council, Place 6 – City of Carrollton - M...
RACE_CANDIDATES       City Council, Place 6 – City of Carrollton - 5
dtype: object",Mike Dooling,5,Colin
"City Council, Place 6 – City of Carrollton","RACE_CANDIDATES    City Council, Place 6 – City of Carrollton.1 -...
RACE_CANDIDATES     City Council, Place 6 – City of Carrollton.1 - 3
dtype: object",Daisy Palomo,3,Colin
"City Council, Place 6 – City of Carrollton","RACE_CANDIDATES    City Council, Place 6 – City of Carrollton.2 -...
RACE_CANDIDATES     City Council, Place 6 – City of Carrollton.2 - 2
dtype: object",OVER VOTES,2,Colin
"City Council, Place 6 – City of Carrollton","RACE_CANDIDATES    City Council, Place 6 – City of Carrollton.3 -...
RACE_CANDIDATES     City Council, Place 6 – City of Carrollton.3 - 5
dtype: object",UNDER VOTES,5,Colin
Mayor – City of Celina,"RACE_CANDIDATES    Mayor – City of Celina - Ryan Tubbs
RACE_CANDIDATES            Mayor – City of Celina - 22
dtype: object",Ryan Tubbs,22,Colin
Mayor – City of Celina,"RACE_CANDIDATES    Mayor – City of Celina.1 - Sean Terry
RACE_CANDIDATES            Mayor – City of Celina.1 - 20
dtype: object",Sean Terry,20,Colin
Mayor – City of Celina,"RACE_CANDIDATES    Mayor – City of Celina.2 - OVER VOTES
RACE_CANDIDATES            Mayor – City of Celina.2 - 11
dtype: object",OVER VOTES,11,Colin
Mayor – City of Celina,"RACE_CANDIDATES    Mayor – City of Celina.3 - UNDER VOTES
RACE_CANDIDATES             Mayor – City of Celina.3 - 35
dtype: object",UNDER VOTES,35,Colin
"Councilman, Place 4 – City of Celina","RACE_CANDIDATES    Councilman, Place 4 – City of Celina - KJ Clark
RACE_CANDIDATES          Councilman, Place 4 – City of Celina - 22
dtype: object",KJ Clark,22,Colin
"Councilman, Place 4 – City of Celina","RACE_CANDIDATES    Councilman, Place 4 – City of Celina.1 - Wendi...
RACE_CANDIDATES          Councilman, Place 4 – City of Celina.1 - 20
dtype: object",Wendie Wigginton,20,Colin
"Councilman, Place 4 – City of Celina","RACE_CANDIDATES    Councilman, Place 4 – City of Celina.2 - OVER ...
RACE_CANDIDATES          Councilman, Place 4 – City of Celina.2 - 11
dtype: object",OVER VOTES,11,Colin
"Councilman, Place 4 – City of Celina","RACE_CANDIDATES    Councilman, Place 4 – City of Celina.3 - UNDER...
RACE_CANDIDATES          Councilman, Place 4 – City of Celina.3 - 35
dtype: object",UNDER VOTES,35,Colin
"Councilman, Place 5 – City of Celina","RACE_CANDIDATES    Councilman, Place 5 – City of Celina - Mindy K...
RACE_CANDIDATES            Councilman, Place 5 – City of Celina - 20
dtype: object",Mindy Koehne,20,Colin
"Councilman, Place 5 – City of Celina","RACE_CANDIDATES    Councilman, Place 5 – City of Celina.1 - OVER ...
RACE_CANDIDATES           Councilman, Place 5 – City of Celina.1 - 0
dtype: object",OVER VOTES,0,Colin
"Councilman, Place 5 – City of Celina","RACE_CANDIDATES    Councilman, Place 5 – City of Celina.2 - UNDER...
RACE_CANDIDATES          Councilman, Place 5 – City of Celina.2 - 68
dtype: object",UNDER VOTES,68,Colin
