COUNTY NUMBER,PRECINCT CODE,PRECINCT NAME,REGISTERED VOTERS TOTAL,BALLOTS CAST TOTAL,BALLOTS CAST BLANK,"Councilmember, Place No. 3 - City of Allen","Councilmember, Place No. 3 - City of Allen","Councilmember, Place No. 3 - City of Allen","Councilmember, Place No. 3 - City of Allen","Councilmember, Place No. 5 - City of Allen","Councilmember, Place No. 5 - City of Allen","Councilmember, Place No. 5 - City of Allen","Councilmember, Place No. 5 - City of Allen","City Council, Place 4, Unexpired Term - City of Anna","City Council, Place 4, Unexpired Term - City of Anna","City Council, Place 4, Unexpired Term - City of Anna","City Council, Place 4, Unexpired Term - City of Anna",
,,,,,,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,
,,,VOTERS,BALLOTS CAST,BALLOTS CAST,Dave Cornette,Ken Cook,OVER VOTES,UNDER VOTES,Dave Shafer,Carl Clemencich,OVER VOTES,UNDER VOTES,Kelly Herndon,Bruce Norwood,OVER VOTES,UNDER VOTES,
Colin,0013,PCT 120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Colin,0013,PCT 120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Colin,0013,PCT 120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Colin,0013,PCT 120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Colin,0014,PCT 121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Colin,0014,PCT 121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Colin,0014,PCT 121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Colin,0014,PCT 121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Colin,0014,PCT 121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Colin,0015,PCT 130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Colin,0015,PCT 130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Colin,0015,PCT 130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Colin,0015,PCT 130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Colin,0015,PCT 130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Colin,0016,PCT 145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Colin,0016,PCT 145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Colin,0016,PCT 145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Colin,0016,PCT 145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Colin,0016,PCT 145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Colin,0017,PCT 147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Colin,0017,PCT 147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Colin,0017,PCT 147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Colin,0017,PCT 147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Colin,0017,PCT 147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Colin,0018,PCT 151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Colin,0018,PCT 151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Colin,0018,PCT 151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Colin,0018,PCT 151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Colin,0018,PCT 151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Colin,0019,PCT 157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Colin,0019,PCT 157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Colin,0019,PCT 157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Colin,0019,PCT 157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Colin,0019,PCT 157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Colin,0020,PCT 161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Colin,0020,PCT 161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Colin,0020,PCT 161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Colin,0020,PCT 161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Colin,0020,PCT 161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Colin,0021,PCT 162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Colin,0021,PCT 162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Colin,0021,PCT 162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Colin,0021,PCT 162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Colin,0021,PCT 162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Colin,0022,PCT 168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Colin,0022,PCT 168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Colin,0022,PCT 168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Colin,0022,PCT 168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Colin,0022,PCT 168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Colin,0023,PCT 171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Colin,0023,PCT 171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Colin,0023,PCT 171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Colin,0023,PCT 171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Colin,0023,PCT 171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Colin,0024,PCT 172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Colin,0024,PCT 172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Colin,0024,PCT 172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Colin,0024,PCT 172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Colin,0024,PCT 172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Colin,0025,PCT 181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Colin,0025,PCT 181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Colin,0025,PCT 181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Colin,0025,PCT 181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Colin,0025,PCT 181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Colin,0026,PCT 182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Colin,0026,PCT 182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Colin,0026,PCT 182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Colin,0026,PCT 182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Colin,0026,PCT 182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Colin,0027,PCT 183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Colin,0027,PCT 183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Colin,0027,PCT 183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Colin,0027,PCT 183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Colin,0027,PCT 183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Colin,0028,PCT 188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Colin,0028,PCT 188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Colin,0028,PCT 188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Colin,0028,PCT 188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Colin,0028,PCT 188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Colin,0029,PCT 218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Colin,0029,PCT 218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Colin,0029,PCT 218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Colin,0029,PCT 218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Colin,0029,PCT 218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Colin,0030,PCT 219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Colin,0030,PCT 219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Colin,0030,PCT 219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Colin,0030,PCT 219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Colin,0030,PCT 219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Colin,0031,PCT 222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Colin,0031,PCT 222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Colin,0031,PCT 222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Colin,0031,PCT 222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Colin,0031,PCT 222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
