RACE,UNEDITED,CANDIDATE,VOTES,COUNTY
BALLOTS CAST,BALLOTS CAST - Republican - BALLOTS CAST,BALLOTS CAST,62687,COLL
BALLOTS CAST,BALLOTS CAST - Democratic - BALLOTS CAST,BALLOTS CAST,22577,COLL
REP President,REP President - Vivek Ramaswamy,Vivek Ramaswamy,411,COLL
REP President,REP President.1 - Chris Christie,Chris Christie,280,COLL
REP President,REP President.2 - David Stuckenberg,David Stuckenberg,53,COLL
REP President,REP President.3 - Donald J. Trump,Donald J. Trump,42704,COLL
REP President,REP President.4 - Nikki Haley,Nikki Haley,15722,COLL
REP President,REP President.5 - Ron DeSantis,Ron DeSantis,1245,COLL
REP President,REP President.6 - Asa Hutchinson,Asa Hutchinson,78,COLL
REP President,REP President.7 - Ryan L. Binkley,Ryan L. Binkley,102,COLL
REP President,REP President.8 - Uncommitted,Uncommitted,1417,COLL
REP President,REP President.9 - OVER VOTES,OVER VOTES,0,COLL
REP President,REP President.10 - UNDER VOTES,UNDER VOTES,675,COLL
REP United States Senator,REP United States Senator - Holland “Redd” Gibson,Holland “Redd” Gibson,4663,COLL
REP United States Senator,REP United States Senator.1 - R.E. (Rufus) Lopez,R.E. (Rufus) Lopez,4158,COLL
REP United States Senator,REP United States Senator.2 - Ted Cruz,Ted Cruz,50405,COLL
REP United States Senator,REP United States Senator.3 - OVER VOTES,OVER VOTES,1,COLL
REP United States Senator,REP United States Senator.4 - UNDER VOTES,UNDER VOTES,3460,COLL
"REP United States Representative, District 3","REP United States Representative, District 3 - Suzanne Harp",Suzanne Harp,7315,COLL
"REP United States Representative, District 3","REP United States Representative, District 3.1 - Tre Pennie",Tre Pennie,1615,COLL
"REP United States Representative, District 3","REP United States Representative, District 3.2 - Jeremy D. Ivanovskis",Jeremy D. Ivanovskis,611,COLL
"REP United States Representative, District 3","REP United States Representative, District 3.3 - John Porro",John Porro,1091,COLL
"REP United States Representative, District 3","REP United States Representative, District 3.4 - Keith Self",Keith Self,31516,COLL
"REP United States Representative, District 3","REP United States Representative, District 3.5 - OVER VOTES",OVER VOTES,0,COLL
"REP United States Representative, District 3","REP United States Representative, District 3.6 - UNDER VOTES",UNDER VOTES,4365,COLL
"REP United States Representative, District 4","REP United States Representative, District 4 - Don Horn",Don Horn,2201,COLL
"REP United States Representative, District 4","REP United States Representative, District 4.1 - Pat Fallon",Pat Fallon,8835,COLL
"REP United States Representative, District 4","REP United States Representative, District 4.2 - OVER VOTES",OVER VOTES,0,COLL
"REP United States Representative, District 4","REP United States Representative, District 4.3 - UNDER VOTES",UNDER VOTES,2517,COLL
"REP United States Representative, District 32","REP United States Representative, District 32 - Gulrez “Gus” Khan",Gulrez “Gus” Khan,156,COLL
"REP United States Representative, District 32","REP United States Representative, District 32.1 - Darrell Day",Darrell Day,978,COLL
"REP United States Representative, District 32","REP United States Representative, District 32.2 - Juan Feria",Juan Feria,162,COLL
"REP United States Representative, District 32","REP United States Representative, District 32.3 - David Blewett",David Blewett,762,COLL
"REP United States Representative, District 32","REP United States Representative, District 32.4 - OVER VOTES",OVER VOTES,0,COLL
"REP United States Representative, District 32","REP United States Representative, District 32.5 - UNDER VOTES",UNDER VOTES,541,COLL
REP Railroad Commissioner,REP Railroad Commissioner - Christie Clark,Christie Clark,7156,COLL
REP Railroad Commissioner,REP Railroad Commissioner.1 - Christi Craddick,Christi Craddick,31853,COLL
REP Railroad Commissioner,REP Railroad Commissioner.2 - Petra Reyes,Petra Reyes,1720,COLL
REP Railroad Commissioner,REP Railroad Commissioner.3 - Corey Howell,Corey Howell,1662,COLL
REP Railroad Commissioner,REP Railroad Commissioner.4 - James “Jim” Matlock,James “Jim” Matlock,9141,COLL
REP Railroad Commissioner,REP Railroad Commissioner.5 - OVER VOTES,OVER VOTES,1,COLL
REP Railroad Commissioner,REP Railroad Commissioner.6 - UNDER VOTES,UNDER VOTES,11154,COLL
"REP Justice, Supreme Court, Place 2","REP Justice, Supreme Court, Place 2 - Jimmy Blacklock",Jimmy Blacklock,40766,COLL
"REP Justice, Supreme Court, Place 2","REP Justice, Supreme Court, Place 2.1 - OVER VOTES",OVER VOTES,0,COLL
"REP Justice, Supreme Court, Place 2","REP Justice, Supreme Court, Place 2.2 - UNDER VOTES",UNDER VOTES,21921,COLL
"REP Justice, Supreme Court, Place 4","REP Justice, Supreme Court, Place 4 - John Devine",John Devine,31350,COLL
"REP Justice, Supreme Court, Place 4","REP Justice, Supreme Court, Place 4.1 - Brian Walker",Brian Walker,16828,COLL
"REP Justice, Supreme Court, Place 4","REP Justice, Supreme Court, Place 4.2 - OVER VOTES",OVER VOTES,0,COLL
"REP Justice, Supreme Court, Place 4","REP Justice, Supreme Court, Place 4.3 - UNDER VOTES",UNDER VOTES,14509,COLL
"REP Justice Supreme Court, Place 6","REP Justice Supreme Court, Place 6 - Jane Bland",Jane Bland,39987,COLL
"REP Justice Supreme Court, Place 6","REP Justice Supreme Court, Place 6.1 - OVER VOTES",OVER VOTES,0,COLL
"REP Justice Supreme Court, Place 6","REP Justice Supreme Court, Place 6.2 - UNDER VOTES",UNDER VOTES,22700,COLL
"REP Presiding Judge, Court of Criminal Appeals","REP Presiding Judge, Court of Criminal Appeals - David J. Schenck",David J. Schenck,35824,COLL
"REP Presiding Judge, Court of Criminal Appeals","REP Presiding Judge, Court of Criminal Appeals.1 - Sharon Keller",Sharon Keller,13931,COLL
"REP Presiding Judge, Court of Criminal Appeals","REP Presiding Judge, Court of Criminal Appeals.2 - OVER VOTES",OVER VOTES,0,COLL
"REP Presiding Judge, Court of Criminal Appeals","REP Presiding Judge, Court of Criminal Appeals.3 - UNDER VOTES",UNDER VOTES,12932,COLL
"REP Judge, Court of Criminal Appeals, Place 7","REP Judge, Court of Criminal Appeals, Place 7 - Barbara Parker Hervey",Barbara Parker Hervey,14473,COLL
"REP Judge, Court of Criminal Appeals, Place 7","REP Judge, Court of Criminal Appeals, Place 7.1 - Gina Parker",Gina Parker,33858,COLL
"REP Judge, Court of Criminal Appeals, Place 7","REP Judge, Court of Criminal Appeals, Place 7.2 - OVER VOTES",OVER VOTES,0,COLL
"REP Judge, Court of Criminal Appeals, Place 7","REP Judge, Court of Criminal Appeals, Place 7.3 - UNDER VOTES",UNDER VOTES,14356,COLL
"REP Judge, Court of Criminal Appeals, Place 8","REP Judge, Court of Criminal Appeals, Place 8 - Lee Finley",Lee Finley,27790,COLL
"REP Judge, Court of Criminal Appeals, Place 8","REP Judge, Court of Criminal Appeals, Place 8.1 - Michelle Slaughter",Michelle Slaughter,20507,COLL
"REP Judge, Court of Criminal Appeals, Place 8","REP Judge, Court of Criminal Appeals, Place 8.2 - OVER VOTES",OVER VOTES,0,COLL
"REP Judge, Court of Criminal Appeals, Place 8","REP Judge, Court of Criminal Appeals, Place 8.3 - UNDER VOTES",UNDER VOTES,14390,COLL
"REP Member, State Board of Education, District 12","REP Member, State Board of Education, District 12 - Matt Rostami",Matt Rostami,8434,COLL
"REP Member, State Board of Education, District 12","REP Member, State Board of Education, District 12.1 - Pam Little",Pam Little,18274,COLL
"REP Member, State Board of Education, District 12","REP Member, State Board of Education, District 12.2 - Chad Green",Chad Green,8388,COLL
"REP Member, State Board of Education, District 12","REP Member, State Board of Education, District 12.3 - Jamie Kohlmann",Jamie Kohlmann,16521,COLL
