RACE,UNEDITED,CANDIDATE,VOTES,COUNTY
BALLOTS CAST,BALLOTS CAST - Republican - BALLOTS CAST,BALLOTS CAST,93211,COLL
BALLOTS CAST,BALLOTS CAST - Democratic - BALLOTS CAST,BALLOTS CAST,33053,COLL
REP President,REP President - Vivek Ramaswamy,Vivek Ramaswamy,643,COLL
REP President,REP President.1 - Chris Christie,Chris Christie,381,COLL
REP President,REP President.2 - David Stuckenberg,David Stuckenberg,85,COLL
REP President,REP President.3 - Donald J. Trump,Donald J. Trump,64272,COLL
REP President,REP President.4 - Nikki Haley,Nikki Haley,23020,COLL
REP President,REP President.5 - Ron DeSantis,Ron DeSantis,1698,COLL
REP President,REP President.6 - Asa Hutchinson,Asa Hutchinson,101,COLL
REP President,REP President.7 - Ryan L. Binkley,Ryan L. Binkley,151,COLL
REP President,REP President.8 - Uncommitted,Uncommitted,1951,COLL
REP President,REP President.9 - OVER VOTES,OVER VOTES,0,COLL
REP President,REP President.10 - UNDER VOTES,UNDER VOTES,909,COLL
REP United States Senator,REP United States Senator - Holland “Redd” Gibson,Holland “Redd” Gibson,7225,COLL
REP United States Senator,REP United States Senator.1 - R.E. (Rufus) Lopez,R.E. (Rufus) Lopez,6206,COLL
REP United States Senator,REP United States Senator.2 - Ted Cruz,Ted Cruz,74278,COLL
REP United States Senator,REP United States Senator.3 - OVER VOTES,OVER VOTES,1,COLL
REP United States Senator,REP United States Senator.4 - UNDER VOTES,UNDER VOTES,5501,COLL
"REP United States Representative, District 3","REP United States Representative, District 3 - Suzanne Harp",Suzanne Harp,11413,COLL
"REP United States Representative, District 3","REP United States Representative, District 3.1 - Tre Pennie",Tre Pennie,2311,COLL
"REP United States Representative, District 3","REP United States Representative, District 3.2 - Jeremy D. Ivanovskis",Jeremy D. Ivanovskis,989,COLL
"REP United States Representative, District 3","REP United States Representative, District 3.3 - John Porro",John Porro,1794,COLL
"REP United States Representative, District 3","REP United States Representative, District 3.4 - Keith Self",Keith Self,43801,COLL
"REP United States Representative, District 3","REP United States Representative, District 3.5 - OVER VOTES",OVER VOTES,0,COLL
"REP United States Representative, District 3","REP United States Representative, District 3.6 - UNDER VOTES",UNDER VOTES,7554,COLL
"REP United States Representative, District 4","REP United States Representative, District 4 - Don Horn",Don Horn,3652,COLL
"REP United States Representative, District 4","REP United States Representative, District 4.1 - Pat Fallon",Pat Fallon,13317,COLL
"REP United States Representative, District 4","REP United States Representative, District 4.2 - OVER VOTES",OVER VOTES,0,COLL
"REP United States Representative, District 4","REP United States Representative, District 4.3 - UNDER VOTES",UNDER VOTES,4385,COLL
"REP United States Representative, District 32","REP United States Representative, District 32 - Gulrez “Gus” Khan",Gulrez “Gus” Khan,253,COLL
"REP United States Representative, District 32","REP United States Representative, District 32.1 - Darrell Day",Darrell Day,1460,COLL
"REP United States Representative, District 32","REP United States Representative, District 32.2 - Juan Feria",Juan Feria,235,COLL
"REP United States Representative, District 32","REP United States Representative, District 32.3 - David Blewett",David Blewett,1110,COLL
"REP United States Representative, District 32","REP United States Representative, District 32.4 - OVER VOTES",OVER VOTES,0,COLL
"REP United States Representative, District 32","REP United States Representative, District 32.5 - UNDER VOTES",UNDER VOTES,915,COLL
REP Railroad Commissioner,REP Railroad Commissioner - Christie Clark,Christie Clark,11066,COLL
REP Railroad Commissioner,REP Railroad Commissioner.1 - Christi Craddick,Christi Craddick,44226,COLL
REP Railroad Commissioner,REP Railroad Commissioner.2 - Petra Reyes,Petra Reyes,2770,COLL
REP Railroad Commissioner,REP Railroad Commissioner.3 - Corey Howell,Corey Howell,2688,COLL
REP Railroad Commissioner,REP Railroad Commissioner.4 - James “Jim” Matlock,James “Jim” Matlock,13983,COLL
REP Railroad Commissioner,REP Railroad Commissioner.5 - OVER VOTES,OVER VOTES,1,COLL
REP Railroad Commissioner,REP Railroad Commissioner.6 - UNDER VOTES,UNDER VOTES,18477,COLL
"REP Justice, Supreme Court, Place 2","REP Justice, Supreme Court, Place 2 - Jimmy Blacklock",Jimmy Blacklock,59831,COLL
"REP Justice, Supreme Court, Place 2","REP Justice, Supreme Court, Place 2.1 - OVER VOTES",OVER VOTES,0,COLL
"REP Justice, Supreme Court, Place 2","REP Justice, Supreme Court, Place 2.2 - UNDER VOTES",UNDER VOTES,33380,COLL
"REP Justice, Supreme Court, Place 4","REP Justice, Supreme Court, Place 4 - John Devine",John Devine,45033,COLL
"REP Justice, Supreme Court, Place 4","REP Justice, Supreme Court, Place 4.1 - Brian Walker",Brian Walker,24725,COLL
"REP Justice, Supreme Court, Place 4","REP Justice, Supreme Court, Place 4.2 - OVER VOTES",OVER VOTES,0,COLL
"REP Justice, Supreme Court, Place 4","REP Justice, Supreme Court, Place 4.3 - UNDER VOTES",UNDER VOTES,23453,COLL
"REP Justice Supreme Court, Place 6","REP Justice Supreme Court, Place 6 - Jane Bland",Jane Bland,58499,COLL
"REP Justice Supreme Court, Place 6","REP Justice Supreme Court, Place 6.1 - OVER VOTES",OVER VOTES,0,COLL
"REP Justice Supreme Court, Place 6","REP Justice Supreme Court, Place 6.2 - UNDER VOTES",UNDER VOTES,34712,COLL
"REP Presiding Judge, Court of Criminal Appeals","REP Presiding Judge, Court of Criminal Appeals - David J. Schenck",David J. Schenck,51805,COLL
"REP Presiding Judge, Court of Criminal Appeals","REP Presiding Judge, Court of Criminal Appeals.1 - Sharon Keller",Sharon Keller,20367,COLL
"REP Presiding Judge, Court of Criminal Appeals","REP Presiding Judge, Court of Criminal Appeals.2 - OVER VOTES",OVER VOTES,0,COLL
"REP Presiding Judge, Court of Criminal Appeals","REP Presiding Judge, Court of Criminal Appeals.3 - UNDER VOTES",UNDER VOTES,21039,COLL
"REP Judge, Court of Criminal Appeals, Place 7","REP Judge, Court of Criminal Appeals, Place 7 - Barbara Parker Hervey",Barbara Parker Hervey,21365,COLL
"REP Judge, Court of Criminal Appeals, Place 7","REP Judge, Court of Criminal Appeals, Place 7.1 - Gina Parker",Gina Parker,48644,COLL
"REP Judge, Court of Criminal Appeals, Place 7","REP Judge, Court of Criminal Appeals, Place 7.2 - OVER VOTES",OVER VOTES,0,COLL
